Postcode,Buddhism,Christianity,Hinduism,Islam,Judaism,Other Religions,Secular Beliefs and Other Spiritual Beliefs and No Religious Affiliation,Inadequately described,Not stated,Total
2120,511,11384,683,181,30,115,5851,77,1368,20207
2121,1436,12608,1686,417,22,218,10003,78,1756,28215
2122,1798,13070,923,575,97,188,12015,90,2419,31161
2123,0,0,0,0,0,0,0,0,0,0
2125,649,9560,771,268,12,166,4025,56,860,16377
2126,968,9875,1453,407,41,303,4626,41,1058,18768
2127,753,5839,489,718,13,108,4756,52,1801,14535
2128,85,1067,61,408,4,25,461,9,2061,4166
2129,0,0,0,0,0,0,0,0,0,4
2130,252,2777,233,87,24,33,3149,42,712,7306
2131,1608,8611,2680,403,52,178,8037,107,2163,23839
2132,512,5647,293,122,10,45,3219,37,731,10613
2133,316,7038,243,264,3,66,2264,35,788,11014
2134,1487,4636,1029,212,5,70,7212,37,1334,16033
2135,1594,10603,4024,749,23,176,5920,66,2094,25252
2136,328,4200,518,187,9,34,1528,21,552,7367
2137,767,16154,821,375,35,131,6243,71,1916,26507
2138,1004,7755,953,648,29,128,7830,73,1603,20022
2139,0,27,0,0,0,0,7,0,13,55
2140,999,4434,3888,613,12,225,4105,48,1832,16161
2141,3027,10503,1944,3448,7,258,6992,69,2427,28675
2142,991,8402,3534,6434,14,688,3512,67,2651,26297
2143,1106,3519,218,1755,3,76,1471,20,747,8920
2144,1991,6596,3291,16053,3,317,5829,78,3209,37370
2145,1659,37194,17902,4724,34,2127,9393,209,5965,79213
2146,414,9031,3347,558,11,365,2576,45,1126,17467
2147,667,21380,2545,1229,40,936,6875,117,2554,36346
2148,1070,33362,6841,4072,16,3745,9290,203,4472,63074
2150,1189,7405,9951,1980,14,1203,6195,83,3479,31500
2151,623,10975,1220,970,18,450,4952,80,2012,21308
2152,241,6549,493,527,5,222,2356,25,783,11218
2153,1734,33194,3488,1480,43,824,12642,147,3004,56556
2154,1392,22961,1427,993,62,528,9419,106,2708,39594
2155,1362,34201,3150,2170,67,1423,9810,104,3163,55447
2156,96,9313,89,118,14,88,2461,39,718,12941
2157,17,2482,8,18,15,20,803,12,363,3741
2158,224,5624,147,110,5,72,1861,23,503,8579
2159,30,3269,4,11,8,12,1358,4,276,4976
2160,1036,17045,1509,8505,8,605,4324,91,2845,35971
2161,1113,13104,651,10149,12,309,3164,77,2844,31420
2162,2167,7078,113,4963,5,54,2621,33,1585,18622
2163,1321,3436,109,2069,0,42,1210,16,1390,9592
2164,1319,13039,184,1502,6,206,1957,83,1334,19626
2165,5931,23525,410,3955,0,614,4748,250,3006,42438
2166,20631,16238,221,1429,5,223,9777,108,4136,52768
2167,336,4439,1166,1048,0,157,1476,36,972,9637
2168,4698,20899,1211,6623,0,903,5065,128,3917,43451
2170,5218,52990,5711,14129,27,4810,11773,299,10504,105455
2171,2225,22304,1603,2710,7,528,3131,69,2284,34865
2172,59,1882,155,81,0,38,408,7,142,2779
2173,373,8525,1059,567,0,103,2901,47,855,14432
2174,115,1008,344,332,0,34,218,3,215,2267
2175,44,1462,21,25,0,11,110,0,169,1837
2176,6179,32539,303,1243,5,443,4452,208,2440,47812
2177,4250,7559,191,741,0,178,1956,27,1081,15980
2178,107,2982,25,164,0,41,454,33,431,4234
2179,129,4190,96,473,0,45,823,11,755,6529
2190,597,10234,222,10595,5,144,1597,84,2092,25571
2191,261,4238,107,356,3,16,938,13,395,6317
2192,693,6924,387,1638,10,121,1853,28,1061,12713
2193,741,8086,400,455,17,70,4153,55,1267,15254
2194,2676,8680,2274,1210,9,375,7250,48,2019,24538
2195,894,5995,589,15174,0,84,1906,32,2481,27148
2196,1466,14680,357,9415,12,130,3008,49,2704,31813
2197,551,4414,36,2512,0,48,841,23,646,9067
2198,377,5480,24,1685,7,31,795,21,624,9039
2199,1578,7989,103,4742,7,110,1884,54,1549,18016
2200,4377,16293,523,12382,4,238,5285,87,4494,43688
2203,475,5913,193,327,42,71,5244,95,1354,13707
2204,1560,10103,440,797,101,152,10620,196,2539,26499
2205,1276,6783,545,2754,22,78,5980,96,1914,19447
2206,566,12733,121,618,39,62,3687,59,1513,19407
2207,824,15749,577,3210,34,90,5031,89,2926,28536
2208,517,7914,72,705,16,50,2263,20,894,12450
2209,1060,8137,286,953,7,71,4023,32,1199,15772
2210,1189,17947,418,1699,44,108,6944,85,2156,30582
2211,771,10156,315,873,9,117,3415,43,1153,16845
2212,759,9069,280,1217,9,296,3077,52,1080,15846
2213,610,14186,406,1120,5,100,3827,49,1481,21788
2214,73,2839,14,118,0,4,700,0,194,3952
2216,1250,13593,2527,2552,59,183,5180,108,2610,28065
2217,1024,14375,2496,1704,40,165,4887,66,2094,26846
2218,786,7478,1145,1136,35,114,4443,59,1229,16425
2219,215,9266,99,418,33,40,2038,37,1051,13196
2220,2520,10358,2481,1133,22,92,13456,104,2323,32487
2221,639,9888,205,751,41,47,3728,36,1152,16482
2222,605,6316,1029,511,22,82,3262,38,916,12790
2223,543,12304,550,344,28,83,5537,71,1447,20903
2224,283,9888,99,205,25,18,2720,29,942,14209
2225,39,3548,10,19,4,15,1460,22,295,5408
2226,149,7780,55,36,18,54,3609,41,765,12505
2227,146,9632,65,53,28,32,3747,61,864,14622
2228,313,11784,217,191,33,87,4388,56,1285,18364
2229,282,19442,125,127,45,63,6727,89,1814,28712
2230,255,17537,63,110,27,63,8052,128,2595,28842
2231,21,1459,0,7,0,0,633,15,131,2269
2232,404,20488,309,194,42,117,8959,173,2184,32870
2233,177,20189,53,62,16,57,7490,104,1351,29497
2234,280,22524,219,511,36,64,5483,80,1375,30579
2250,855,39303,438,339,81,303,19985,277,5617,67195
2251,283,20412,81,70,71,61,9311,120,2292,32708
2256,213,9234,53,18,21,70,4594,80,1311,15603
2257,338,17512,71,65,28,101,8389,126,2380,29009
2258,52,3065,16,17,10,15,1637,23,334,5167
2259,490,38228,255,213,38,242,15315,248,4486,59513
2260,228,14088,67,80,44,62,7180,91,1583,23418
2261,372,33727,110,103,36,167,14002,160,4068,52751
2262,142,13368,15,52,19,81,5668,73,1418,20828
2263,209,14900,55,79,15,94,6553,58,2290,24263
2264,127,8959,20,66,11,41,3944,54,1012,14233
2265,20,3967,3,12,0,11,1191,27,577,5809
2267,13,1643,0,0,0,3,880,19,188,2757
2278,7,1620,4,0,0,12,761,8,158,2571
2280,206,16847,74,44,6,63,7724,97,1616,26682
2281,130,8746,16,17,10,37,4366,43,910,14273
2282,119,9369,66,34,14,47,4174,55,904,14775
2283,210,14125,22,28,7,70,7007,111,1723,23297
2284,100,6450,40,15,8,44,2926,60,857,10498
2285,241,18963,220,167,13,107,9065,118,1828,30715
2286,24,2484,13,0,5,13,1109,15,244,3909
2287,377,22146,377,623,3,186,10412,172,2103,36400
2289,226,11421,116,51,5,40,6168,98,986,19118
2290,302,19759,114,81,16,102,10503,153,2394,33422
2291,120,7395,41,21,18,20,4750,81,971,13413
2292,29,1207,12,13,0,10,1007,19,161,2465
2293,23,1103,3,0,0,9,1188,19,168,2521
2294,23,866,0,8,0,10,842,19,159,1929
2295,57,3986,11,3,3,19,1880,26,947,6925
2296,31,658,11,24,6,7,955,19,178,1883
2297,23,676,5,13,0,10,792,14,148,1683
2298,118,4883,80,111,0,68,3101,72,1060,9499
2299,211,6048,109,557,3,47,3466,70,695,11205
2300,128,4503,54,98,19,47,4489,82,1159,10579
2302,7,237,7,14,0,6,197,6,96,565
2303,92,4886,53,37,11,35,3242,47,748,9145
2304,230,7874,85,162,12,71,5392,86,1260,15177
2305,135,7216,93,53,15,32,4145,68,751,12506
2306,12,1808,3,6,0,19,1171,7,342,3359
2307,51,2286,21,69,3,30,1245,21,177,3905
2308,41,534,28,26,3,12,562,13,107,1327
2311,13,577,0,0,0,0,200,4,67,861
2312,9,920,0,0,6,3,393,8,124,1453
2314,0,60,0,0,0,0,46,0,91,203
2315,141,9079,38,29,11,48,3860,49,1405,14655
2316,49,3521,3,3,0,11,1647,23,588,5846
2317,56,4023,13,6,12,10,1601,11,517,6241
2318,67,7672,10,17,7,28,3204,38,1105,12149
2319,35,4166,0,3,0,25,1861,20,575,6685
2320,186,22790,118,89,13,114,8432,140,2667,34559
2321,83,9687,28,17,11,63,3688,62,995,14624
2322,118,12385,48,57,5,79,4498,47,1218,18453
2323,190,16697,177,151,14,111,6391,98,1911,25736
2324,146,15180,54,48,7,90,5947,83,2084,23651
2325,175,17252,94,31,10,75,7286,81,3453,28459
2326,38,4553,8,6,0,25,2056,24,623,7333
2327,39,4735,12,0,0,30,2114,32,659,7610
2328,13,1756,0,3,0,9,438,9,208,2438
2329,5,1546,6,0,0,0,303,4,247,2111
2330,118,13703,40,54,5,50,4486,42,1861,20349
2331,4,129,0,4,0,0,162,6,10,318
2333,59,8759,53,35,7,43,3209,58,1412,13645
2334,17,1864,10,12,0,13,708,12,196,2829
2335,37,4156,0,7,0,24,1379,21,533,6156
2336,17,1884,0,0,0,0,461,8,239,2614
2337,49,5609,19,29,3,15,1353,5,801,7889
2338,3,970,15,17,0,0,256,4,160,1432
2339,0,454,0,0,0,0,105,3,110,677
2340,278,33889,221,164,7,177,9739,134,4455,49070
2341,0,1100,0,10,0,0,283,0,177,1572
2342,0,300,4,0,0,0,104,0,63,465
2343,14,3564,3,9,0,9,886,17,464,4968
2344,3,530,0,0,0,0,122,8,103,756
2345,0,518,0,0,0,0,135,0,70,720
2346,10,2170,3,0,0,24,610,5,318,3147
2347,3,1367,4,4,0,0,317,3,228,1933
2350,285,14372,279,455,14,151,7318,149,2321,25336
2351,13,354,4,10,0,10,356,7,217,976
2352,11,1992,0,3,0,10,535,17,155,2715
2353,0,752,0,0,0,0,216,0,153,1124
2354,5,2426,0,0,0,16,655,10,454,3574
2355,0,378,0,0,0,7,161,3,107,664
2356,0,109,0,0,0,0,36,0,16,160
2357,11,2606,14,11,3,20,977,10,514,4159
2358,29,2436,3,6,7,17,902,21,355,3772
2359,4,482,0,0,0,0,161,0,85,736
2360,63,9898,8,17,0,30,2992,38,1469,14524
2361,0,643,0,0,0,4,136,0,124,909
2365,18,2590,5,0,0,11,727,9,372,3726
2369,0,626,0,0,0,4,180,0,110,923
2370,32,5030,29,22,3,47,1450,22,1049,7683
2371,5,749,0,0,0,11,243,9,142,1155
2372,31,3109,4,0,0,24,985,4,594,4742
2379,0,225,0,0,0,0,58,0,28,316
2380,35,7255,10,20,0,24,2108,26,912,10390
2381,7,804,0,0,0,4,258,4,117,1190
2382,6,882,0,0,0,0,281,6,147,1322
2386,0,269,0,0,0,0,48,0,42,356
2387,0,132,0,0,0,0,26,0,36,199
2388,12,1870,0,6,0,5,377,3,406,2673
2390,30,5953,33,15,0,11,1688,21,1011,8755
2395,0,409,0,0,0,0,174,0,88,669
2396,5,641,0,0,0,3,151,0,57,856
2397,0,261,0,0,0,0,68,0,50,380
2398,0,187,0,0,0,0,25,0,27,236
2399,0,411,0,0,0,0,84,0,99,596
2400,48,6975,67,21,0,22,1582,19,1348,10083
2401,4,237,0,0,0,0,40,0,42,321
2402,6,1335,6,0,0,0,272,6,170,1789
2403,0,522,0,0,0,7,112,0,80,720
2404,0,1350,0,0,4,0,292,0,191,1837
2405,0,360,0,0,0,0,86,0,60,512
2408,0,278,0,0,0,0,48,0,46,372
2409,0,724,0,0,0,3,200,0,99,1027
2410,0,183,0,0,0,0,61,0,31,281
2411,0,93,0,0,0,0,11,0,15,121
2415,0,256,0,0,0,4,88,0,39,390
2420,21,2687,4,3,0,8,865,3,423,4022
2421,12,1202,5,0,0,7,464,7,132,1831
2422,38,3520,11,6,0,16,1188,25,528,5334
2423,15,1830,10,0,0,8,787,10,308,2959
2424,7,230,0,0,0,0,123,0,65,429
2425,9,1129,0,7,0,8,481,8,143,1782
2426,0,479,0,0,0,0,159,4,76,719
2427,18,2133,0,3,0,3,708,4,239,3113
