Postcode,Buddhism,Christianity,Hinduism,Islam,Judaism,Other Religions,Secular Beliefs and Other Spiritual Beliefs and No Religious Affiliation,Inadequately described,Not stated,Total
2757,3,550,12,0,0,0,221,3,60,851
2758,67,5338,13,23,10,29,2352,31,860,8718
2759,261,18048,397,977,3,226,4657,67,1701,26331
2760,496,19926,1576,1624,15,445,6565,150,3035,33832
2761,352,19038,2191,2787,7,895,3640,72,1974,30954
2762,92,2865,395,155,0,163,903,29,379,4979
2763,666,17546,3027,1413,13,1574,4794,117,1726,30875
2765,119,10311,149,177,14,156,2800,29,2352,16112
2766,271,9974,1143,1323,0,211,1585,45,989,15536
2767,441,12929,2756,1434,5,848,2649,53,1409,22526
2768,801,14463,3341,1433,31,2120,4068,93,2412,28760
2769,317,5491,1733,969,11,768,1660,31,743,11732
2770,503,35504,1757,6434,13,551,10719,231,5589,61302
2773,31,3582,5,11,7,16,1932,28,399,6009
2774,77,7751,20,25,23,56,4148,81,751,12931
2775,15,727,0,4,4,5,436,0,300,1492
2776,29,2285,8,3,0,17,1441,18,228,4026
2777,138,10514,21,22,29,98,5557,96,1135,17606
2778,24,1237,0,7,0,11,949,16,186,2432
2779,61,2480,13,15,13,32,1959,47,357,4976
2780,380,5190,106,59,41,111,5769,103,1457,13222
2782,96,2936,27,21,30,32,2407,31,504,6077
2783,36,1225,8,10,3,37,1076,13,203,2612
2784,20,537,3,6,0,11,525,12,112,1232
2785,109,1916,10,13,10,35,1959,38,464,4545
2786,12,520,0,0,0,21,511,15,205,1290
2787,18,2791,5,14,0,19,903,12,683,4450
2790,122,9638,55,34,11,65,3668,63,2097,15763
2791,4,259,0,0,0,0,57,0,26,344
2792,0,236,0,0,0,0,91,4,51,389
2793,7,615,0,0,0,10,217,0,123,975
2794,46,7612,12,3,4,41,1707,24,991,10426
2795,315,27190,202,180,15,180,9685,209,4580,42552
2797,0,329,0,0,0,0,72,0,21,422
2798,4,1379,0,0,0,0,529,5,181,2103
2799,12,2916,11,5,0,11,806,13,347,4119
2800,273,30531,272,149,14,204,9771,178,3610,44994
2803,8,196,0,0,0,0,49,0,33,277
2804,11,1975,0,0,0,7,459,3,208,2667
2805,0,296,0,0,0,0,71,0,28,397
2806,0,612,0,0,0,0,114,0,50,781
2807,0,299,0,0,0,0,59,0,68,429
2808,0,115,0,0,0,0,41,0,25,177
2809,0,132,0,0,0,0,52,0,57,239
2810,8,2275,10,0,0,10,581,9,271,3152
2817,0,227,0,0,0,0,46,0,14,291
2818,0,605,0,0,0,3,156,3,100,864
2820,31,4454,0,9,9,28,1209,14,1571,7320
2821,9,3496,3,3,0,4,775,4,514,4810
2822,0,277,0,0,0,5,81,4,50,412
2823,4,1014,0,0,0,0,216,6,180,1419
2824,9,1677,0,0,0,6,254,0,246,2187
2825,9,1827,7,22,0,5,263,7,252,2382
2826,0,152,0,0,0,0,21,0,27,197
2827,7,2696,5,3,0,11,630,3,338,3693
2828,0,532,0,0,0,0,171,0,123,832
2829,11,2209,7,5,0,3,348,8,511,3100
2830,283,28125,453,233,18,184,7309,128,3552,40290
2831,0,1346,0,0,0,4,348,0,217,1920
2832,3,1610,24,6,0,4,510,11,395,2566
2833,0,387,0,4,0,18,177,0,69,654
2834,15,1271,3,16,0,11,694,6,329,2338
2835,20,2750,18,30,0,6,794,17,551,4173
2836,0,563,0,0,0,4,139,0,180,890
2838,0,153,0,0,0,0,83,0,12,243
2839,0,723,3,0,0,12,393,9,202,1337
2840,6,1785,11,7,0,0,346,4,532,2702
2842,3,439,0,3,0,0,117,0,58,626
2843,4,895,0,0,0,0,225,3,155,1288
2844,4,929,0,0,0,0,252,0,255,1441
2845,3,1247,0,14,0,4,438,13,260,1978
2846,0,122,0,0,0,0,91,4,59,277
2847,13,1599,3,8,0,8,470,16,314,2426
2848,20,1016,3,3,0,4,380,4,216,1650
2849,10,984,9,0,0,3,350,4,197,1547
2850,99,11577,23,12,9,57,3950,61,1872,17645
2852,9,2191,8,5,0,8,813,9,497,3542
2864,3,598,0,0,0,0,158,0,47,805
2865,3,664,0,0,0,0,88,0,107,868
2866,16,2241,0,4,0,14,518,11,295,3100
2867,0,431,0,5,0,0,119,4,43,599
2868,0,456,0,0,0,0,125,0,61,649
2869,8,1018,9,9,0,4,226,0,176,1442
2870,46,8802,28,22,0,20,1917,33,1164,12038
2871,29,6852,15,15,0,18,1454,31,939,9350
2873,4,361,0,0,0,0,90,0,104,558
2874,0,329,0,0,0,0,47,0,48,423
2875,0,639,8,0,0,9,189,0,124,969
2876,0,283,0,0,0,0,62,0,63,421
2877,10,2702,20,3,0,3,698,5,434,3880
2878,0,190,0,0,0,0,52,0,125,371
2879,0,277,0,0,0,3,218,5,126,636
2880,96,9728,45,41,5,44,6456,56,1797,18276
2898,0,185,0,0,0,0,140,0,50,381
800,274,2226,295,94,7,49,2294,48,1183,6467
810,1142,15094,1386,839,33,365,10122,219,4098,33302
812,692,9404,247,318,9,136,5667,114,2292,18875
815,10,48,30,20,0,3,57,4,109,286
820,519,8636,426,260,12,150,6751,135,2561,19449
822,216,16234,18,16,4,1108,4253,60,3660,25558
828,26,494,21,13,0,20,390,10,234,1203
829,10,399,4,6,0,0,338,15,1068,1835
830,423,8328,221,188,7,92,6461,118,2369,18209
832,280,7478,341,228,0,116,5636,114,1375,15571
834,12,850,0,3,0,0,729,14,221,1834
835,70,2105,14,20,0,11,1379,33,1492,5131
836,131,3460,4,20,0,27,3029,40,1037,7752
837,9,150,0,0,0,5,151,5,81,412
838,17,356,0,0,0,9,323,6,104,816
839,7,205,0,3,0,0,224,0,104,551
840,6,174,0,0,0,0,153,4,30,365
841,17,280,0,0,0,4,293,0,103,702
845,13,179,0,0,0,7,208,8,107,509
846,6,151,0,0,0,18,116,0,61,357
847,4,131,0,3,0,0,101,0,94,329
850,67,3415,72,40,10,82,2500,62,1899,8137
852,25,2906,3,13,0,862,2328,17,2147,8300
853,13,393,7,3,0,4,329,0,107,856
854,4,322,0,5,0,0,439,0,105,875
860,32,1333,21,14,0,148,1033,3,414,2997
862,3,428,3,0,0,25,263,0,40,762
870,347,8935,310,133,21,289,6569,141,2882,19631
873,36,1344,7,4,0,29,598,15,402,2434
874,11,257,6,9,0,0,156,0,118,547
875,24,1055,30,14,0,38,854,11,348,2373
880,30,2885,14,24,5,253,1192,21,791,5212
885,3,431,17,0,0,3,303,6,112,875
886,22,384,4,6,0,17,393,10,249,1077
4000,692,5680,589,388,23,102,6881,106,2092,16556
4005,341,7168,217,93,66,78,6804,114,2990,17875
4006,397,4884,433,246,24,101,5894,134,2409,14528
4007,210,6999,163,116,30,125,3659,56,1413,12768
4008,7,146,0,0,0,0,92,0,122,369
4009,0,4,0,0,0,0,0,0,0,4
4010,45,992,43,19,3,27,910,6,247,2300
4011,256,8680,426,101,38,196,4060,79,1343,15178
4012,349,11104,771,158,20,366,7104,140,1825,21830
4013,55,2393,122,74,7,88,1445,23,363,4570
4014,155,6688,209,62,14,172,3610,46,948,11910
4017,328,21639,466,140,16,334,11061,189,2710,36870
4018,248,6483,796,197,10,530,2948,54,882,12155
4019,247,11395,67,47,12,105,6443,106,1698,20105
4020,241,12970,78,33,17,114,6301,136,2161,22041
4021,113,5571,42,14,16,67,3009,64,888,9784
4022,51,4508,57,8,3,24,1899,35,587,7166
4025,13,128,10,0,0,0,106,0,102,369
4029,0,5,0,0,0,0,10,0,61,77
4030,282,7658,578,183,25,225,5996,140,1457,16532
4031,150,7350,250,112,10,152,4326,90,1157,13589
4032,276,8488,415,230,17,309,4401,79,1553,15775
4034,676,25710,1195,399,18,1100,11815,263,3291,44462
4035,221,15876,482,129,10,142,5773,83,1494,24212
4036,85,3763,113,47,4,67,1976,18,434,6499
4037,43,4985,52,14,3,36,2320,36,477,7972
4051,342,14293,393,102,34,144,9830,184,2207,27534
4053,533,25633,407,245,40,235,13715,265,2925,43984
4054,139,7873,51,34,15,58,4540,86,816,13619
4055,163,12294,102,43,12,95,6540,107,1204,20561
4059,366,4610,214,627,19,58,6046,110,1443,13493
4060,117,7383,96,48,33,53,4262,65,979,13034
4061,152,9333,122,35,27,78,5708,91,1149,16689
4064,126,4746,92,86,21,62,4632,99,977,10836
4065,65,4919,14,29,21,30,3593,60,778,9499
4066,339,6863,352,194,33,100,6940,127,1745,16697
4067,545,3380,260,871,25,55,4144,55,1092,10422
4068,569,10233,726,590,80,183,9066,164,2006,23618
4069,561,18172,577,202,136,179,11194,140,2462,33623
4070,180,6428,197,49,21,67,3856,61,748,11612
4072,49,954,31,24,8,6,931,24,131,2153
4073,255,5327,310,130,18,108,2492,37,450,9138
4074,802,12715,638,258,56,180,7473,107,1512,23730
4075,602,12011,328,383,34,175,7736,112,1971,23352
4076,382,2264,122,263,7,147,1276,19,3629,8103
4077,3646,13822,590,2252,29,411,6387,119,3513,30759
4078,1437,12996,803,595,12,328,7491,129,2013,25806
4101,1028,7614,485,476,58,177,10072,177,2783,22862
4102,339,2633,188,153,3,69,3259,66,947,7656
4103,440,5515,376,331,25,147,6042,132,1303,14315
4104,102,3300,80,71,10,68,2155,28,707,6536
4105,263,6446,226,363,24,173,4661,83,1081,13322
4106,43,689,32,63,0,37,537,13,178,1595
4107,130,3083,171,118,0,104,2114,35,537,6288
4108,252,2660,396,253,9,99,1755,39,569,6023
4109,2932,15043,1146,1256,20,779,13380,156,2902,37605
4110,421,5246,424,778,10,167,2722,63,1082,10916
4111,29,480,22,21,0,16,493,8,121,1182
4112,324,2896,260,2040,4,312,1708,24,545,8108
4113,1768,12345,1111,1483,15,1532,9520,99,2034,29915
4114,579,14843,409,2724,5,291,6834,166,3204,29063
4115,703,10110,583,570,6,371,5691,55,1210,19309
4116,1701,10508,1302,1488,10,659,8282,90,1897,25936
4117,40,634,57,113,0,36,352,7,118,1365
4118,585,16550,432,681,21,402,9060,160,2505,30398
4119,210,2802,174,835,5,244,1552,13,504,6344
4120,206,3864,362,164,33,202,3215,84,814,8934
4121,349,13968,300,379,35,169,7969,167,1930,25269
4122,1244,23874,1073,1255,44,571,12351,202,3223,43850
4123,434,10671,257,260,33,243,5278,84,1234,18489
4124,306,10912,125,193,13,235,6317,91,1483,19675
4125,154,4469,29,38,4,55,1803,21,563,7144
4127,526,14537,349,858,24,262,7394,144,2276,26375
4128,215,9627,136,220,11,83,4832,81,1305,16510
4129,97,3457,38,47,0,36,2178,40,412,6303
4130,71,5475,49,38,10,54,2212,42,586,8533
4131,200,5118,122,438,3,178,3085,61,1228,10435
4132,604,12770,205,1166,7,222,7756,136,3342,26216
4133,406,9624,197,409,8,149,5108,117,1745,17769
4151,276,8589,568,179,24,210,4942,109,1392,16285
4152,767,26840,793,466,60,322,12167,209,3059,44685
4153,82,2808,88,39,8,20,1029,29,267,4372
4154,103,6755,192,98,7,69,3000,27,718,10972
4155,15,949,11,24,0,24,284,0,137,1440
4156,104,2034,62,44,15,18,680,13,176,3147
4157,169,11332,178,93,22,145,5816,110,1170,19037
4158,30,2127,11,8,7,25,1263,23,268,3764
4159,141,8883,68,16,10,81,4094,58,1143,14498
4160,177,11320,57,26,13,103,5263,102,1083,18140
4161,123,9359,81,55,5,100,5374,93,1067,16251
4163,183,8905,67,50,10,56,4234,59,1233,14798
4164,122,9339,56,51,19,71,4105,47,887,14694
4165,239,22263,106,96,12,136,11167,146,2646,36814
4169,318,6217,299,217,33,96,5105,133,1577,13995
4170,383,12357,339,132,22,239,8654,132,2258,24516
4171,144,8543,75,87,27,55,5253,77,1470,15722
4172,98,2211,90,29,3,32,1447,15,376,4301
4173,168,4870,172,53,8,54,2322,55,587,8289
4174,33,1307,34,6,4,36,776,18,170,2382
4178,317,14184,188,79,12,145,8150,130,2008,25212
4179,180,11331,79,44,12,78,6027,81,1459,19292
4183,30,1051,0,0,0,14,729,14,268,2105
4184,105,3559,14,10,14,66,2469,32,648,6909
4205,77,3206,24,26,3,33,1510,17,488,5383
4207,594,30309,203,584,45,342,17773,295,5069,55212
4208,173,11354,76,53,4,88,6438,99,1689,19967
4209,562,24981,335,278,47,256,18642,300,4660,50069
4210,221,10601,83,93,15,71,6508,83,1799,19477
4211,804,32939,339,462,122,390,20138,333,5279,60803
4212,321,16576,118,228,70,95,7752,98,2796,28053
4213,346,16403,108,46,57,133,9228,121,2603,29040
4214,691,20106,324,543,86,185,11845,168,3288,37236
4215,1183,23179,618,943,132,422,17268,289,6129,50173
4216,519,21705,166,486,79,179,10657,151,3485,37434
4217,949,19373,894,557,198,640,11918,225,6080,40836
4218,654,16667,156,126,118,229,10313,172,3436,31868
4220,375,17235,111,69,43,114,10291,164,2832,31236
4221,316,15096,79,33,28,88,8742,121,2298,26801
4222,0,0,0,0,0,0,0,0,0,0
4223,178,7821,29,17,14,31,4684,76,1046,13896
4224,83,3425,36,7,7,25,2242,23,744,6590
4225,108,3867,40,23,16,31,2467,34,1167,7754
4226,721,17922,242,200,113,214,9968,118,2753,32244
4227,428,11480,208,196,44,154,7171,91,1921,21689
4228,72,2956,5,0,3,37,1736,26,452,5298
4229,7,136,28,18,4,10,108,5,67,385
4230,53,861,13,11,4,18,558,0,151,1672
4270,35,2169,7,6,3,8,1226,22,473,3944
4271,33,1398,10,3,7,29,1099,22,295,2895
4272,62,2293,12,0,8,44,1561,35,592,4611
4275,33,1862,5,4,0,3,1113,18,388,3430
4280,145,9632,36,16,7,101,5557,81,1298,16867
4285,96,12529,24,20,5,121,5415,87,1948,20251
4287,0,463,0,0,0,3,148,3,203,824
4300,1266,29700,1302,617,26,456,17218,290,4788,55666
4301,413,15652,333,320,5,242,8469,191,2609,28239
4303,51,2090,17,15,4,36,1173,17,554,3946
4304,160,9574,123,56,8,124,5339,104,1818,17319
4305,460,36354,262,132,30,325,19141,314,5537,62554
4306,206,21445,67,54,15,135,10539,148,3193,35798
4307,12,1058,0,0,0,4,365,0,115,1553
4309,18,1925,7,0,4,9,706,4,327,3006
4310,29,3999,5,0,0,33,1206,9,469,5756
4311,121,6225,8,22,4,65,2820,37,1301,10601
4312,25,1549,6,0,0,8,770,6,291,2668
4313,11,1487,0,0,0,5,589,11,215,2324
4340,31,3390,0,0,3,13,1373,18,617,5449
4341,83,9134,9,30,4,64,3868,52,1346,14589
4342,11,1608,6,0,0,8,639,5,338,2621
4343,130,6906,131,334,3,91,2340,26,1396,11359
4344,9,1714,3,4,0,0,563,14,317,2624
4345,16,130,5,6,0,6,147,0,21,329
4346,3,556,0,0,0,3,228,5,78,873
4347,3,784,0,3,0,10,262,6,120,1187
4350,1073,69539,1164,1542,45,705,22773,457,9441,106746
4352,145,20289,37,27,4,59,5703,88,2095,28459
4353,0,236,0,0,0,0,31,0,16,293
4354,4,774,4,0,0,6,306,14,100,1196
4355,20,1905,6,0,0,3,499,12,230,2681
4356,17,3927,4,0,0,3,664,13,561,5184
4357,3,1697,6,5,0,8,441,0,423,2585
4358,4,1629,0,0,0,0,387,0,231,2264
4359,0,896,0,0,0,3,214,3,120,1240
4360,9,420,0,0,0,3,121,4,37,590
4361,0,1949,5,3,0,17,435,0,240,2660
4362,6,1810,0,5,4,9,442,16,180,2464
4363,0,396,0,0,0,3,124,0,68,600
4364,0,162,0,0,0,0,38,0,12,218
4365,0,316,0,0,0,6,113,7,60,507
4370,68,12650,52,34,5,84,4054,53,1524,18526
4371,5,479,0,0,0,4,161,3,53,710
4372,0,120,0,0,0,0,25,0,13,163
4373,3,716,7,0,0,3,214,0,87,1033
4374,0,219,0,0,0,6,85,0,46,358
4376,0,201,0,0,0,0,81,0,37,319
4378,0,354,0,0,0,0,120,0,35,510
4381,0,329,0,0,0,6,200,3,61,598
4382,0,302,0,0,0,7,166,3,47,518
4384,0,44,0,0,0,0,16,0,7,62
4387,6,848,0,0,0,7,271,0,149,1287
4388,0,289,0,0,0,0,87,0,37,418
4390,30,4880,13,0,0,19,1087,22,827,6877
4400,4,1320,0,0,0,6,402,0,146,1889
4401,21,4079,0,16,0,22,1096,16,467,5720
4402,6,205,0,0,0,0,63,0,18,291
4403,0,557,0,0,0,0,146,0,100,810
4404,0,438,0,0,0,0,47,4,44,539
4405,70,10433,57,29,4,58,2441,48,1338,14486
4406,5,1060,0,0,0,9,208,0,183,1466
4407,0,396,0,0,0,0,69,5,56,529
4408,3,419,0,0,0,0,138,0,75,630
4410,3,827,0,0,3,0,174,0,109,1124
4411,0,191,0,0,0,0,63,0,34,291
4412,0,150,0,0,0,0,26,0,9,191
4413,19,5287,49,27,0,54,1470,15,1108,8025
4415,6,1272,14,0,0,4,391,11,292,1987
4416,3,372,0,0,0,0,64,0,64,502
4417,0,486,0,0,0,0,118,0,62,666
4418,0,87,0,0,0,0,12,6,7,109
4419,6,633,0,0,0,0,153,0,159,946
4420,0,935,0,0,0,0,140,0,98,1174
4421,21,1288,0,9,0,11,514,4,640,2480
4422,0,343,4,0,0,3,78,0,57,485
4423,0,158,0,0,0,0,31,0,12,198
4424,0,198,0,0,0,0,19,0,19,236
4425,0,160,0,0,0,0,35,0,20,220
4426,0,105,0,0,0,0,19,0,6,126
4427,0,210,5,0,0,0,58,0,74,352
4428,0,482,0,0,0,0,107,0,83,664
4454,0,489,3,0,0,5,107,3,95,703
4455,22,5781,40,17,8,66,1487,21,1051,8488
4461,0,45,0,0,0,0,0,0,7,52
4462,0,87,0,0,0,0,14,0,3,108
4465,4,906,0,0,0,0,223,0,92,1235
4467,0,147,0,0,0,0,29,0,19,198
4468,0,191,0,0,0,0,52,3,4,253
4470,55,2552,3,13,0,0,596,10,344,3574
4472,3,1136,5,0,0,0,180,0,97,1429
4474,0,72,0,0,0,0,13,0,3,89
4475,0,0,0,0,0,0,0,0,0,0
4477,0,380,0,0,0,0,50,0,40,471
4478,0,379,0,0,0,0,58,0,35,472
4479,0,10,0,0,0,0,5,0,0,15
4480,3,529,0,0,0,0,166,0,56,755
4481,0,102,0,0,0,0,10,0,16,124
4482,8,76,0,0,0,0,51,0,13,141
4486,0,490,0,0,0,0,110,0,100,709
4487,10,2413,0,4,0,5,431,5,233,3098
4488,0,199,0,0,0,0,20,0,32,254
4489,0,65,0,0,0,0,17,0,16,94
4490,4,1019,0,0,0,4,261,0,134,1425
4491,0,70,0,0,0,0,18,4,0,90
4492,0,209,0,0,0,0,71,0,22,302
4493,0,11,0,0,0,0,3,0,8,21
4494,0,125,0,0,0,0,14,0,15,151
4496,0,205,0,0,0,5,31,0,25,264
4497,0,241,0,0,0,0,48,0,40,329
4498,0,156,0,0,0,0,31,0,32,219
4500,381,25250,561,177,13,249,12805,189,2775,42403
4501,50,2983,38,11,0,58,1935,43,542,5660
4502,76,4932,38,4,18,54,2924,40,587,8676
4503,354,24169,463,152,41,330,14276,293,3566,43648
4504,141,10442,76,14,10,56,6490,72,1268,18575
4505,157,12585,64,22,12,72,5994,64,1489,20450
4506,194,11703,39,47,3,120,7684,126,1900,21807
4507,162,11469,21,21,10,68,4777,46,1576,18145
4508,144,10820,87,36,16,102,6517,97,2038,19850
4509,368,16233,729,204,18,295,9813,153,2297,30104
4510,471,25812,187,147,22,316,16008,309,5028,48305
4511,74,5597,5,7,0,29,2534,25,824,9094
4512,25,2019,3,3,0,22,952,13,405,3438
4514,53,3581,5,0,0,55,1932,25,1744,7406
4515,31,2627,0,21,0,27,986,10,364,4063
4516,20,2299,12,4,0,11,1232,15,365,3962
4517,3,456,0,0,0,6,213,6,77,763
4518,56,2937,7,3,0,13,1641,24,378,5061
4519,90,4703,9,3,5,51,2821,25,714,8422
4520,104,7260,25,15,15,60,4430,76,1207,13201
4521,48,2567,0,0,0,24,1537,22,531,4731
4550,46,2164,12,3,0,26,1611,14,382,4255
4551,529,33451,203,78,29,184,17731,236,4289,56733
4552,168,4054,30,10,3,77,3221,51,814,8431
4553,107,3051,5,0,0,18,2146,36,524,5887
4554,108,845,0,0,0,7,751,16,218,1944
4555,110,3850,4,10,0,35,2366,29,530,6926
4556,455,24838,137,116,55,149,14081,173,3332,43334
4557,240,9611,149,73,22,102,6986,117,1686,18990
4558,267,10044,170,100,18,148,6382,111,1924,19163
4559,72,3605,6,6,0,36,1981,46,558,6322
4560,420,17514,85,82,19,172,10594,186,2632,31712
4561,131,3719,8,16,3,31,2615,35,651,7212
4562,94,3709,22,9,11,30,3400,29,735,8035
4563,119,4275,20,7,3,45,3249,56,701,8476
4564,92,5670,55,24,16,24,3784,68,856,10592
4565,198,7514,27,3,11,50,5170,67,1451,14502
4566,84,4423,26,5,5,30,2803,22,722,8126
4567,167,5197,28,20,30,53,4420,76,1034,11016
4568,55,1746,3,0,0,30,1373,29,312,3558
4569,41,702,0,0,0,18,665,20,176,1625
4570,321,24031,50,43,32,258,12976,204,4512,42426
4571,8,327,4,0,0,9,323,3,137,811
4572,56,2010,39,5,5,15,1322,9,502,3957
4573,327,12739,63,30,42,92,10388,176,2412,26276
4574,17,663,0,0,0,12,442,9,154,1300
4575,210,13271,96,43,21,83,7973,121,1969,23777
4580,50,2906,11,5,6,15,1350,27,513,4881
4581,14,748,7,0,0,8,453,10,291,1525
4600,14,512,0,0,0,6,279,3,85,895
4601,4,772,0,0,0,3,249,0,138,1169
4605,12,3182,15,0,4,46,1120,6,452,4839
4606,9,1626,0,0,0,4,580,8,223,2448
4608,6,554,0,0,0,9,215,0,126,909
4610,81,9588,19,19,10,64,3700,70,1292,14840
4611,0,77,0,0,0,0,33,0,12,115
4612,0,148,0,0,0,4,72,0,27,257
4613,5,520,0,0,0,4,205,8,123,865
4614,4,699,3,0,0,3,314,5,154,1178
4615,55,3997,3,3,4,40,2041,28,873,7053
4620,0,223,0,0,0,0,101,0,67,398
4621,17,1169,0,3,0,6,393,4,192,1788
4625,10,1822,10,9,0,4,563,3,341,2756
4626,15,1346,27,16,0,11,498,7,290,2209
4627,0,505,0,0,0,5,204,3,159,875
4630,9,1588,0,0,0,4,486,9,306,2406
4650,211,20046,47,25,8,143,9369,123,3923,33889
4655,533,35469,239,135,29,257,17071,224,5580,59546
4659,25,2915,7,4,0,9,1228,23,588,4793
4660,49,4438,3,10,5,26,1784,20,820,7145
4662,3,380,5,0,0,7,260,3,140,793
4670,682,49526,231,290,33,245,21066,297,7236,79606
4671,40,3554,3,5,10,50,1537,39,818,6059
4673,0,409,0,0,0,6,178,0,47,649
4674,13,856,0,0,0,13,392,11,171,1456
4676,0,102,0,0,0,0,34,0,17,159
4677,72,1873,3,0,0,29,1093,19,461,3552
4678,4,572,0,0,0,6,196,0,79,852
4680,529,31066,462,310,20,224,16362,207,4979,54167
4694,0,126,0,0,0,0,37,0,29,189
4695,0,687,0,0,0,0,307,0,117,1119
4697,0,96,0,0,0,0,36,0,14,144
4699,0,319,0,0,0,0,91,0,45,457
4700,149,11072,100,76,9,101,3975,84,1869,17435
4701,414,27834,434,373,10,253,9664,150,3636,42761
4702,147,18482,70,35,7,107,6391,86,3293,28611
4703,167,13836,33,16,4,80,6026,79,2302,22533
4704,0,99,0,0,0,0,21,0,17,138
4705,0,230,0,0,0,3,67,0,53,352
4706,0,66,0,0,0,0,24,0,12,101
4707,0,168,0,0,0,0,56,0,26,251
4709,0,633,0,0,0,4,324,7,160,1129
4710,29,2892,4,0,0,10,1325,15,564,4845
4711,3,1347,0,4,0,3,325,3,164,1852
4712,0,192,0,0,0,0,59,0,29,277
4713,0,690,0,0,0,11,187,0,73,960
4714,14,1811,7,0,0,21,720,16,347,2941
4715,97,5024,52,71,0,21,1169,25,663,7123
4716,4,682,0,0,0,0,118,0,76,881
4717,39,2801,17,22,0,18,1185,25,631,4751
4718,12,1580,5,4,0,15,455,17,298,2379
4719,4,713,0,4,0,4,153,0,121,1004
4720,107,8995,84,40,0,89,3056,55,1969,14396
4721,3,2571,13,0,0,10,623,9,496,3719
4722,7,1341,9,0,0,0,225,0,229,1816
4723,4,940,4,0,0,0,279,5,190,1419
4724,0,463,3,0,0,0,89,0,22,578
4725,3,1057,12,17,0,7,277,0,158,1534
4726,0,299,0,0,0,0,84,0,30,406
4727,0,197,0,0,0,0,35,0,35,265
4728,4,138,0,0,0,0,38,0,17,204
4730,20,2268,14,8,0,13,566,17,335,3233
4731,0,155,0,0,0,0,36,0,24,220
4732,0,101,0,0,0,0,17,0,14,132
4733,0,122,0,0,0,0,38,0,24,187
4735,0,658,0,0,5,13,189,5,100,966
4736,0,82,0,0,0,0,19,0,7,100
4737,30,5338,11,3,0,21,1735,20,983,8139
4738,5,835,0,7,0,0,204,4,130,1180
4739,0,220,0,3,0,0,78,0,24,333
4740,586,51186,509,283,22,320,19597,307,7281,80092
4741,35,4691,0,0,0,19,1367,20,954,7074
4742,3,643,5,0,0,0,224,10,244,1138
4743,7,383,0,0,0,0,141,3,90,621
4744,102,5069,71,30,0,43,2244,33,1143,8735
4745,12,1559,5,12,0,10,717,17,663,2989
4746,7,1172,12,10,0,3,457,6,262,1934
4750,40,3273,3,6,0,18,1873,35,497,5749
4751,15,3200,0,9,0,5,884,3,386,4502
4753,24,2855,9,0,0,9,1008,6,376,4285
4754,10,1466,0,0,0,10,514,6,238,2251
4756,3,391,0,0,0,0,155,0,49,607
4757,12,207,0,0,0,6,81,0,46,351
4798,4,471,0,0,0,5,133,0,72,687
4799,3,662,0,0,0,8,250,3,127,1062
4800,66,5889,7,7,3,18,2301,24,1006,9323
4801,9,123,6,9,0,0,102,0,17,264
4802,174,4542,29,14,7,46,3467,63,1495,9832
4803,44,481,14,8,3,9,583,16,717,1866
4804,6,1041,0,0,0,0,429,0,238,1726
4805,127,6320,27,38,5,13,2835,37,1423,10827
4806,14,2820,4,4,0,12,650,3,365,3872
4807,41,8423,17,11,0,30,1591,21,895,11034
4808,0,890,0,0,0,4,128,0,86,1115
4809,11,704,6,0,0,5,189,8,96,1005
4810,252,11111,141,67,12,123,7079,145,2905,21840
4811,101,7198,108,61,8,52,3567,59,1990,13145
4812,167,10891,92,131,8,109,5608,126,1657,18803
4814,529,27171,515,514,27,252,12553,273,4297,46124
4815,105,12651,26,30,0,103,6090,106,1920,21035
4816,42,6499,0,6,0,42,1950,21,711,9270
4817,172,19603,88,108,10,119,7915,146,2262,30409
4818,170,16380,50,49,9,96,8897,143,2438,28222
4819,54,963,4,0,6,16,942,22,339,2342
4820,38,6897,23,7,6,39,2547,24,1254,10842
4821,8,945,4,0,0,0,229,0,137,1324
4822,0,583,3,0,0,5,131,0,60,787
4823,0,628,7,0,0,6,192,8,86,922
4824,23,1686,12,8,0,9,554,8,464,2764
4828,0,108,0,0,0,0,54,0,48,211
4829,5,289,0,0,0,0,73,0,98,467
4830,0,1258,6,0,0,15,282,0,154,1713
4849,12,820,9,4,0,22,358,6,152,1368
4850,35,8365,26,5,0,37,1494,22,948,10920
4852,60,1831,3,3,0,45,1177,20,545,3692
4854,34,3468,17,0,0,149,1242,10,550,5481
4855,7,422,0,0,0,11,211,0,108,769
4856,7,433,0,6,0,26,147,0,90,711
4858,7,1040,0,0,0,7,302,3,124,1486
4859,0,282,0,0,0,0,126,0,54,466
4860,91,6790,49,12,0,498,2447,34,1369,11293
4861,5,884,0,5,0,0,403,14,132,1454
4865,77,4864,3,10,0,76,2286,42,758,8114
4868,282,12885,99,87,13,241,6162,97,2192,22063
4869,217,10825,42,68,5,215,5721,107,1819,19016
4870,1576,34505,974,288,65,837,22991,427,9355,71005
4871,56,7044,27,7,5,109,2383,30,1319,10977
4872,24,2438,0,8,0,6,930,16,491,3898
4873,68,3236,9,10,0,42,2121,35,936,6456
4874,47,2811,7,0,0,19,1725,27,594,5241
4875,20,5834,11,11,12,243,862,42,1065,8099
4876,0,2297,4,0,0,8,299,14,197,2829
4877,109,1961,27,5,9,24,2075,43,894,5140
4878,264,6212,74,60,21,108,5035,109,1604,13483
4879,317,9398,71,49,49,122,7387,138,1907,19448
4880,91,7788,31,134,5,65,2771,40,2373,13294
