Postcode,Nil payments,$1-$74,$75-$99,$100-$124,$125-$149,$150-$174,$175-$199,$200-$224,$225-$249,$250-$274,$275-$299,$300-$324,$325-$349,$350-$374,$375-$399,$400-$424,$425-$449,$450-$549,$550-$649,$650-$749,$750-$849,$850-$949,$950 and over,Not stated,Not applicable
2600,36,10,15,33,9,19,4,9,8,23,13,22,13,31,48,82,27,190,168,70,35,19,48,30,2786
2601,3,3,4,0,3,3,0,0,6,4,6,7,9,33,48,96,59,224,174,43,19,17,28,33,827
2602,104,81,219,310,133,149,91,118,113,180,152,279,237,413,276,403,206,883,286,137,48,21,36,144,8840
2603,30,39,63,69,25,22,14,20,11,36,16,79,72,111,88,108,57,217,124,68,42,23,60,42,3131
2604,35,38,52,67,39,60,35,32,34,40,18,46,47,109,161,281,117,528,251,92,47,31,33,64,3272
2605,27,6,45,46,25,24,10,31,31,60,38,45,39,45,25,54,46,302,100,52,35,6,4,38,3572
2606,16,30,50,49,27,39,29,58,34,49,82,186,166,243,132,138,85,235,60,22,13,6,18,58,2892
2607,37,16,75,48,32,34,31,39,29,53,62,99,41,87,60,105,69,278,88,42,12,9,9,49,4405
2609,6,6,0,9,10,8,7,27,14,16,5,4,0,10,16,16,0,11,0,0,0,0,0,10,321
2612,50,100,131,164,56,45,59,100,129,123,57,139,118,361,284,331,185,793,291,126,66,29,39,91,4063
2614,59,47,75,102,56,55,43,59,44,73,81,152,99,165,162,244,102,316,77,37,7,3,3,60,6146
2615,105,51,142,239,132,161,111,129,77,119,64,171,127,313,330,448,223,520,97,22,10,6,12,157,13789
2617,91,44,81,154,76,103,82,79,45,78,94,422,430,525,407,512,255,771,251,59,31,15,19,131,8582
2900,6,4,10,14,4,3,3,8,3,0,0,15,29,49,33,93,55,103,11,0,0,0,0,6,601
2902,27,28,71,105,49,63,37,35,26,29,16,58,43,80,77,142,62,160,33,14,5,5,0,51,4835
2903,19,25,42,69,27,32,20,23,9,20,14,37,19,49,36,82,39,123,26,9,0,0,0,28,2951
2904,22,3,24,26,10,13,15,14,6,12,12,22,4,19,46,97,49,192,50,15,4,0,0,23,4282
2905,46,39,77,145,72,87,47,64,37,54,30,94,73,217,201,335,161,418,55,7,4,3,8,66,8606
2906,18,21,39,69,34,63,28,38,21,37,9,63,44,172,143,163,64,152,57,11,9,0,0,38,5364
2911,0,0,0,0,0,0,0,4,30,40,27,75,20,25,30,29,7,85,58,16,6,0,0,13,1201
2912,4,6,9,6,4,27,11,15,24,30,47,196,67,79,76,56,38,273,107,24,5,3,9,21,1196
2913,52,31,50,79,50,48,40,64,49,83,60,264,190,451,344,457,193,585,226,68,25,3,17,78,9868
2914,28,3,18,34,20,34,19,37,78,72,48,255,202,144,112,189,121,601,335,65,19,19,8,45,6175
2000,202,27,4,25,22,29,24,33,24,26,16,36,12,39,54,114,59,612,1024,708,1021,759,1095,351,7526
2006,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
2007,40,15,5,44,23,30,39,39,24,21,11,37,42,55,100,64,38,329,459,189,177,89,151,79,1584
2008,45,14,12,80,10,34,27,58,51,32,17,45,60,62,42,227,232,461,738,385,212,130,268,105,2268
2009,69,22,13,104,31,39,28,52,36,37,25,42,18,28,19,58,27,395,484,672,365,190,447,122,3129
2010,81,68,66,473,75,103,55,126,83,116,85,218,120,215,171,269,158,1129,1173,958,654,387,784,217,8315
2011,75,19,34,192,34,67,37,91,53,105,103,345,245,426,302,411,206,956,794,679,442,213,449,139,6695
2015,20,13,6,29,7,35,15,25,16,37,15,30,30,38,21,55,30,462,547,332,156,109,131,40,2836
2016,58,124,81,514,71,103,47,94,25,30,30,75,53,83,46,94,65,340,507,410,250,159,252,139,3586
2017,125,177,142,744,140,203,106,120,45,68,37,80,34,74,34,83,44,895,1089,1655,737,211,279,212,5848
2018,59,47,26,235,54,59,36,62,19,35,21,59,34,66,61,208,170,506,467,373,127,55,59,100,4408
2019,26,8,13,67,17,23,9,29,16,27,11,29,23,51,23,56,24,179,238,173,68,34,26,53,2901
2020,52,10,7,24,3,28,8,26,10,26,31,42,34,44,31,61,35,353,592,719,166,73,77,76,3507
2021,66,5,6,33,6,19,14,39,18,47,54,130,107,160,98,125,64,421,318,255,210,144,650,90,4837
2022,54,4,7,30,9,30,11,19,15,17,13,42,31,58,47,78,41,229,303,294,215,158,361,75,3740
2023,55,5,4,3,0,5,3,8,4,10,6,11,13,15,19,37,22,200,283,197,121,63,218,31,3323
2024,29,8,4,51,8,15,4,12,17,16,14,24,11,41,35,55,25,261,318,256,156,67,181,44,3186
2025,39,4,3,10,4,8,0,3,0,9,6,10,10,9,12,24,30,128,180,176,78,74,246,31,2578
2026,130,21,10,133,17,39,28,46,25,44,39,109,43,118,115,222,127,962,1209,1106,766,497,924,188,9345
2027,46,0,0,0,0,0,0,3,0,5,4,14,12,40,29,53,21,130,182,173,160,147,315,45,3293
2028,28,0,0,0,0,5,0,6,6,5,4,6,0,9,4,11,7,72,158,187,100,63,138,23,1696
2029,47,4,6,13,3,10,4,14,3,10,10,24,19,27,34,42,32,264,423,244,124,77,221,37,2883
2030,54,4,0,0,3,6,4,5,4,6,5,20,7,14,7,22,10,144,203,148,101,62,266,51,4431
2031,136,26,19,70,23,39,35,63,44,69,50,89,43,91,75,253,132,1453,1819,870,388,237,421,139,8897
2032,62,27,26,207,46,61,62,93,45,72,40,70,62,112,88,151,95,550,490,311,207,140,187,147,3345
2033,59,5,0,20,3,14,15,22,16,26,14,30,25,67,41,118,68,642,480,228,143,58,146,62,2546
2034,51,49,51,288,68,84,40,65,35,47,31,66,43,61,29,108,56,622,911,628,324,185,368,109,5400
2035,111,78,72,435,85,125,73,106,36,67,39,83,47,73,48,133,79,890,881,672,354,193,273,171,9515
2036,82,81,63,403,99,161,83,96,46,51,19,67,51,119,135,281,137,499,331,318,166,108,187,151,7582
2037,56,60,59,334,83,91,76,118,55,82,60,137,101,158,76,162,57,511,431,377,349,147,335,142,4297
2038,35,7,11,32,8,21,14,25,29,29,47,55,43,73,57,56,29,196,185,199,139,90,144,40,2768
2039,21,4,0,15,5,4,4,12,10,23,14,25,17,28,13,30,17,184,220,178,197,137,189,30,2780
2040,54,26,33,240,31,44,38,54,36,48,50,59,62,97,71,124,78,387,483,483,317,158,173,104,6282
2041,63,21,19,150,29,38,27,37,31,59,15,54,34,59,38,84,43,251,296,390,226,159,322,74,5008
2042,44,28,29,125,29,36,41,70,46,72,79,213,113,200,137,218,121,704,645,524,330,215,297,95,5069
2043,21,12,11,51,9,16,6,15,9,15,16,31,8,29,15,26,13,268,394,392,181,85,93,26,2313
2044,15,6,4,8,4,5,4,20,8,12,14,40,14,35,14,40,13,143,209,139,73,54,48,28,2398
2045,24,4,0,9,0,5,4,13,6,10,4,8,0,14,11,31,7,62,47,26,39,24,35,14,2005
2046,84,26,21,194,43,77,24,45,18,34,18,44,19,45,34,105,60,710,720,492,258,95,139,84,8154
2047,53,8,8,34,4,15,10,20,12,16,17,29,10,19,23,58,34,369,356,245,159,75,130,46,3807
2048,24,4,7,15,4,8,12,21,18,28,17,48,38,77,51,87,56,299,158,116,102,75,101,30,2174
2049,42,5,12,27,15,33,30,67,37,51,59,90,74,137,80,185,87,442,239,163,112,49,60,35,3075
2050,30,22,23,65,11,48,19,17,54,49,376,348,65,44,35,63,31,328,596,324,158,76,113,58,2444
2052,4,7,0,12,0,0,0,0,6,15,5,7,0,23,82,101,11,79,20,13,8,0,5,21,125
2060,76,7,9,21,11,17,6,23,18,28,17,37,51,130,79,188,121,663,645,422,295,184,330,97,4574
2061,32,19,6,127,16,24,4,11,4,3,5,11,11,13,38,74,27,240,285,234,136,125,274,45,2123
2062,24,5,7,26,0,11,0,6,4,8,6,17,13,20,29,61,36,265,299,153,106,69,113,33,2140
2063,21,0,0,0,0,0,0,0,3,0,0,3,0,3,3,9,7,58,56,36,16,33,128,11,1871
2064,32,11,9,84,12,19,10,15,5,17,13,17,4,23,13,39,27,535,594,139,50,31,58,31,2257
2065,96,28,17,86,18,31,15,33,23,42,30,54,51,76,118,263,172,1334,1323,821,477,324,460,168,8826
2066,80,32,40,102,11,28,27,41,12,29,15,58,43,88,67,207,181,1269,691,357,207,125,235,93,9426
2067,137,7,5,27,17,51,14,34,15,28,16,40,27,49,35,125,84,806,986,574,495,244,403,161,6677
2068,51,11,0,20,5,6,6,19,5,9,10,33,13,14,13,42,29,231,188,133,114,106,235,40,4929
2069,48,4,0,0,0,6,0,6,11,4,6,10,10,11,12,19,11,135,129,108,55,52,193,33,4233
2070,44,4,21,6,13,6,4,14,7,16,4,20,14,20,8,30,15,163,118,90,73,59,220,34,4003
2071,48,0,0,0,0,4,0,0,3,4,4,4,3,10,0,18,3,159,147,154,69,81,195,29,3954
2072,26,0,0,4,0,6,0,0,3,6,0,4,0,9,5,19,7,133,109,155,91,52,99,22,2079
2073,36,5,6,8,4,3,0,3,3,3,3,19,0,5,4,12,3,99,133,117,74,68,166,26,4827
2074,35,5,6,13,14,19,6,22,6,10,4,16,8,12,6,25,25,169,227,116,99,61,192,35,7070
2075,46,4,0,4,0,3,4,0,4,0,3,11,7,3,3,4,0,71,207,149,102,90,228,36,6496
2076,56,8,18,43,20,27,18,23,9,10,15,38,14,31,12,38,25,169,234,165,88,48,141,54,7318
2077,97,27,25,140,44,55,54,79,55,48,47,135,53,139,123,424,369,1933,742,217,78,38,16,132,10046
2079,12,0,0,0,0,3,0,0,5,0,7,5,5,7,6,7,8,69,78,44,15,4,6,11,2121
2080,4,0,0,4,0,0,0,0,0,0,0,3,0,5,4,3,3,15,10,12,0,0,0,3,526
2081,12,5,0,0,0,0,0,0,0,3,3,0,0,4,3,8,4,47,55,25,12,3,0,9,1615
2082,5,0,0,5,0,0,0,0,4,0,4,4,4,4,3,9,4,43,66,29,7,4,3,3,1692
2083,4,0,0,0,0,0,3,8,8,10,0,12,0,6,0,7,6,19,15,0,0,0,0,3,750
2084,13,0,0,5,4,3,0,0,0,4,0,9,0,0,0,0,0,9,22,15,15,15,26,10,1050
2085,19,4,0,4,0,0,0,4,0,0,4,0,0,3,3,6,4,4,21,35,44,62,87,10,3782
2086,26,20,0,0,0,0,0,0,0,3,6,19,4,5,5,6,7,24,36,67,107,78,105,13,3879
2087,31,0,14,51,9,10,8,12,5,9,0,3,4,3,5,12,13,47,74,78,89,90,89,25,3804
2088,96,14,5,27,7,24,14,30,12,21,12,36,24,90,115,220,151,779,621,353,251,174,636,103,9418
2089,51,6,4,10,7,17,15,14,19,15,8,36,32,67,104,193,108,619,548,373,208,113,193,45,3617
2090,56,4,4,14,8,14,7,15,20,12,17,37,27,51,47,106,75,540,596,417,229,109,232,53,4350
2092,10,0,0,15,3,8,3,4,0,10,5,15,5,9,0,8,0,21,17,34,32,26,139,10,2088
2093,49,11,8,32,18,20,7,19,18,23,17,24,14,45,45,94,53,516,366,205,129,95,287,59,6794
2094,19,0,0,7,0,5,0,3,5,4,3,9,4,8,11,26,9,126,153,123,76,50,130,24,1915
2095,69,16,9,92,10,20,41,24,20,22,11,28,14,43,20,74,60,453,539,516,374,264,574,84,5102
2096,37,0,0,32,6,12,0,13,6,17,5,26,22,31,34,93,64,518,491,229,121,76,183,37,4280
2097,35,0,0,10,9,7,5,12,8,11,5,19,4,18,20,43,27,275,197,117,91,67,114,28,4587
2099,95,38,38,187,51,67,40,55,32,71,31,86,53,147,139,282,201,1559,873,445,240,139,214,151,11423
2100,46,5,64,48,7,28,22,30,7,17,9,24,10,30,29,46,31,190,205,138,153,96,126,38,5996
2101,51,10,16,31,45,25,5,29,30,13,19,35,16,53,43,76,56,379,321,212,145,72,115,74,6147
2102,21,0,0,0,3,0,0,0,0,3,0,8,0,7,4,12,3,41,51,135,56,28,60,12,2210
2103,25,0,0,3,0,0,0,10,17,4,0,13,4,12,19,32,16,170,166,82,79,60,86,24,3529
2104,3,0,0,9,11,3,0,0,0,0,0,0,0,4,0,5,0,4,4,6,5,3,21,11,1578
2105,5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,13,9,5,8,7,7,0,890
2106,25,0,0,0,0,3,5,3,0,5,10,22,8,30,22,48,25,157,99,72,57,37,84,24,3156
2107,30,0,0,3,0,8,3,3,0,7,7,18,3,13,15,14,18,107,77,79,85,58,144,16,5164
2108,6,0,0,0,0,0,0,0,0,0,0,5,0,0,0,4,3,13,6,20,8,11,33,3,1223
2109,7,0,0,8,10,13,4,3,8,11,10,10,0,18,0,15,9,279,84,77,5,0,4,15,358
2110,26,13,10,66,13,19,11,9,10,14,6,16,4,17,21,37,10,99,71,50,28,36,95,28,2957
2111,46,20,22,149,18,39,19,25,13,24,6,45,50,131,102,165,89,307,209,129,80,46,68,65,4310
2112,107,14,30,120,45,49,44,70,45,70,31,98,81,240,236,369,174,851,772,442,153,83,87,136,8733
2113,49,24,17,101,31,53,35,60,39,41,14,42,25,60,73,184,201,670,285,180,87,41,46,69,5061
2114,70,18,12,59,26,53,28,48,31,56,56,162,175,320,295,412,206,752,499,224,90,28,29,82,6050
2115,29,56,36,148,39,65,37,57,85,117,26,44,18,30,25,53,24,206,145,62,28,12,4,51,2561
2116,21,18,15,94,19,40,19,28,12,21,12,24,12,34,17,55,39,232,85,30,3,0,0,33,1623
2117,57,80,47,312,74,104,65,87,65,67,34,71,35,87,84,164,103,502,285,122,30,17,6,99,5393
2118,51,17,3,44,35,35,19,17,16,50,12,27,15,31,19,107,72,733,434,188,73,19,6,70,6404
2119,24,0,0,0,0,0,0,5,5,5,4,3,3,23,13,13,12,40,73,75,56,24,27,8,3489
2120,38,10,6,47,10,22,17,19,11,24,15,26,17,21,17,41,29,240,226,138,78,21,13,39,6044
2121,97,6,3,23,8,26,39,47,19,24,16,32,25,23,29,108,142,765,783,299,126,76,50,80,7265
2122,115,31,29,138,38,111,61,84,49,56,33,55,32,119,86,297,231,1092,539,315,125,60,72,186,7861
2123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2125,16,0,10,20,9,19,9,10,6,9,4,11,4,12,4,14,3,82,99,87,48,27,50,22,4867
2126,25,0,7,5,0,4,0,7,0,9,10,12,5,7,5,10,6,69,203,205,119,62,32,23,5344
2127,41,0,0,0,3,10,0,7,11,13,12,14,9,10,13,116,195,1243,738,205,123,35,28,63,3700
2128,9,0,0,0,0,0,0,4,3,12,9,20,14,9,20,39,16,113,48,16,0,4,0,9,557
2129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2130,27,5,0,5,9,23,19,22,13,44,33,44,23,101,122,159,105,450,146,59,36,26,12,28,1858
2131,89,12,14,44,36,73,47,74,63,75,50,164,100,249,243,547,373,1318,412,155,100,36,39,113,5343
2132,33,3,11,34,11,19,17,17,16,14,16,31,21,43,35,97,41,199,140,83,50,28,16,49,2830
2133,22,13,11,67,10,21,13,25,14,25,15,38,49,167,97,132,57,196,147,57,20,5,14,36,3036
2134,73,14,11,96,15,31,28,51,35,47,30,78,43,71,50,106,64,713,534,432,137,53,43,129,3171
2135,101,15,9,63,27,47,27,57,18,50,28,70,20,71,73,179,124,965,632,240,160,72,81,123,5602
2136,21,3,6,31,7,14,6,21,12,3,3,21,6,30,20,54,33,200,141,47,19,4,10,28,1966
2137,63,17,20,93,22,40,17,38,29,41,13,57,26,56,38,118,58,632,448,446,199,119,125,102,7679
2138,69,12,3,22,8,21,3,19,7,18,11,43,20,41,14,48,32,787,985,914,198,82,83,113,4708
2139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
2140,50,17,12,56,33,31,19,48,18,28,11,55,30,104,120,287,234,1056,396,117,35,27,14,82,3167
2141,84,30,26,79,23,77,43,58,30,68,48,176,87,224,160,325,144,855,424,168,64,12,22,157,5972
2142,78,72,59,241,63,160,71,117,43,106,77,175,148,362,345,672,303,818,163,35,14,7,13,132,5258
2143,25,20,14,77,18,35,25,31,11,29,14,48,42,79,36,100,59,218,59,30,12,0,4,54,1992
2144,113,25,32,159,56,92,53,90,53,110,66,212,192,502,281,554,252,1115,404,77,34,6,13,190,6495
2145,152,84,100,510,112,252,143,212,117,146,83,214,130,448,582,1531,941,2703,587,169,36,5,18,247,18338
2146,31,13,19,68,30,42,21,45,23,35,24,53,39,107,136,238,126,360,85,8,3,0,5,59,4584
2147,79,84,68,360,71,133,67,134,54,100,55,122,82,283,272,420,201,559,144,33,3,4,6,126,9800
2148,134,76,72,310,73,167,106,175,83,154,112,364,316,914,929,1357,454,1110,173,32,14,3,6,245,14661
2150,90,36,26,163,43,93,45,101,41,105,95,299,215,635,634,1150,585,2002,792,121,49,26,25,185,5194
2151,68,20,37,151,29,70,38,71,26,40,30,94,68,253,227,340,164,712,288,89,28,10,3,87,5420
2152,15,10,18,47,18,27,14,43,30,36,17,40,20,41,42,168,137,472,110,27,4,6,0,47,3344
2153,66,8,5,23,27,27,22,27,25,35,17,47,32,49,39,130,116,1120,781,283,108,50,51,92,16239
2154,71,5,12,27,25,14,16,35,12,28,17,25,18,35,15,77,29,628,693,323,151,104,74,93,11219
2155,62,0,0,3,0,12,4,7,21,47,10,55,23,37,19,49,25,352,990,723,224,75,48,80,14100
2156,28,0,0,6,6,4,6,11,0,3,4,11,0,3,5,15,6,29,45,37,25,16,28,20,4001
2157,25,0,0,0,0,0,0,9,0,7,3,4,5,4,5,12,5,24,17,14,5,5,5,13,1040
2158,31,3,0,5,0,3,3,3,0,13,7,10,7,9,0,20,0,67,65,57,29,10,22,20,2552
2159,19,0,0,0,0,0,0,9,0,10,0,15,0,19,4,12,7,30,35,13,5,6,12,18,1521
2160,101,56,54,229,79,158,106,143,63,115,77,203,177,547,442,617,252,863,276,112,28,11,12,196,7556
2161,82,50,62,296,70,163,81,158,59,90,51,182,113,327,224,471,175,616,180,63,20,5,4,134,6601
2162,55,48,35,250,48,108,48,80,33,67,31,82,45,109,71,202,61,411,113,29,8,0,0,86,4194
2163,18,73,44,254,62,132,82,91,68,102,99,139,51,66,48,80,31,83,18,11,6,0,0,81,1780
2164,43,20,18,114,17,95,40,96,35,68,63,74,34,111,93,224,102,436,81,21,6,6,0,64,4646
2165,108,49,46,259,81,207,116,222,96,220,167,485,376,548,333,633,305,992,155,35,11,10,8,169,8224
2166,198,56,43,294,98,254,101,247,111,337,374,1053,333,617,297,577,165,615,106,28,12,4,8,232,10586
2167,16,7,7,31,15,16,15,16,19,21,17,44,46,112,61,105,33,220,55,10,0,0,0,20,2317
2168,75,151,115,585,158,306,168,215,113,148,74,172,114,287,250,431,186,605,151,20,13,3,4,199,9189
2170,210,143,120,644,153,366,207,342,184,388,487,1091,617,935,604,1138,598,2026,525,123,33,0,30,412,24618
2171,44,0,0,6,7,10,7,12,17,40,18,35,12,34,27,76,49,722,383,68,8,5,11,50,8256
2172,5,0,0,0,0,0,0,3,9,25,3,20,7,9,0,3,0,12,4,12,4,0,0,4,746
2173,11,0,0,3,4,3,3,16,108,151,22,44,8,25,18,69,43,515,119,33,0,4,5,24,3230
2174,5,0,0,0,0,0,0,0,5,12,0,3,0,7,0,0,0,22,60,13,0,0,0,4,524
2175,16,0,0,4,0,3,0,0,0,7,0,9,0,6,5,9,5,16,3,3,0,0,0,3,503
2176,82,18,21,92,38,104,57,108,48,63,43,91,36,132,87,308,237,924,225,46,8,8,5,101,11360
2177,22,14,14,69,30,84,49,96,78,83,35,72,30,83,41,131,53,244,68,4,0,0,5,55,3315
2178,23,0,0,0,3,0,3,6,3,4,8,11,13,19,10,25,10,39,17,12,5,6,0,14,1048
2179,38,0,0,0,4,12,5,12,11,18,17,43,19,41,18,48,11,113,101,29,12,6,0,26,1689
2190,83,50,46,272,67,135,58,128,39,56,27,65,27,88,62,155,56,411,260,112,22,3,3,98,5706
2191,19,4,5,55,22,37,10,25,16,14,8,14,3,16,3,25,23,148,87,27,6,7,3,44,1673
2192,51,23,10,67,26,65,17,45,32,48,56,165,170,312,131,158,41,209,132,53,12,5,10,59,3001
2193,42,3,4,15,8,18,7,56,15,24,24,97,61,119,101,151,69,413,234,80,37,11,12,53,4430
2194,87,11,21,85,15,75,39,87,31,78,51,200,213,635,452,596,232,776,316,93,26,8,19,118,4694
2195,74,19,15,82,23,53,43,60,53,69,130,627,591,1091,434,384,93,368,122,45,5,6,10,116,4469
2196,82,33,41,153,44,110,55,103,37,82,61,232,164,328,141,252,90,573,287,82,30,9,8,127,7423
2197,29,17,17,94,26,47,24,35,13,25,12,42,5,32,13,64,25,198,77,35,3,0,4,34,2144
2198,26,0,3,7,0,9,0,8,8,8,3,17,7,15,7,44,15,147,76,31,3,0,4,18,2430
2199,40,24,33,131,42,109,49,102,46,51,24,58,33,106,70,185,75,384,103,47,6,0,9,88,4125
2200,144,57,53,274,49,163,89,139,57,118,81,209,147,435,449,1015,317,1018,302,98,27,14,14,219,9341
2203,41,10,14,28,11,41,38,44,27,36,38,77,76,176,126,254,158,621,314,134,68,42,24,45,3840
2204,77,20,25,172,40,91,50,127,94,153,67,151,108,237,154,349,192,896,576,346,166,126,94,117,6865
2205,61,14,11,103,26,33,22,39,22,30,27,63,24,71,38,98,62,720,1136,372,104,37,39,109,4435
2206,57,7,9,33,8,30,17,24,14,10,14,35,16,43,25,77,32,267,298,129,46,34,18,48,5827
2207,79,11,0,44,16,31,27,47,26,50,21,71,53,125,90,231,114,597,346,140,37,15,19,71,7827
2208,32,9,8,51,19,31,22,36,21,25,12,35,8,47,22,49,16,225,214,77,24,5,7,49,3551
2209,44,19,22,147,29,81,38,61,27,36,30,77,41,77,73,90,79,351,196,69,33,10,13,85,4123
2210,64,83,75,518,134,218,126,179,56,89,47,96,35,97,50,184,74,625,281,100,38,12,17,152,8252
2211,41,29,14,163,50,43,24,51,21,27,12,43,12,45,30,122,73,362,176,86,13,3,10,68,4818
2212,34,18,28,143,43,69,45,66,42,43,15,51,31,51,42,123,64,375,172,115,23,7,3,57,4046
2213,49,20,29,210,40,71,23,75,24,32,29,50,16,56,29,99,72,389,236,131,22,9,4,68,6181
2214,5,0,0,0,0,0,0,4,0,7,0,3,0,5,3,3,4,53,27,7,0,0,0,0,1234
2216,101,22,13,73,25,46,24,54,34,63,50,121,66,179,178,447,278,1306,637,192,66,22,53,134,7205
2217,98,8,6,29,16,40,23,56,28,39,34,96,70,211,236,495,290,1031,573,191,59,22,26,98,7009
2218,61,10,5,25,13,36,20,23,11,29,23,59,36,112,137,360,218,711,216,74,17,6,5,66,3935
2219,44,16,8,61,8,15,6,26,10,33,15,34,26,51,58,162,98,362,173,102,54,20,28,50,4474
2220,126,19,22,76,25,60,31,70,50,68,34,80,53,124,137,385,238,1493,845,220,74,28,45,156,7051
2221,41,4,3,33,9,13,12,11,6,19,14,31,14,30,26,60,38,221,151,90,37,13,28,41,4858
2222,30,5,12,28,6,21,14,35,15,23,16,68,60,194,209,265,82,267,125,40,14,6,7,53,3229
2223,64,10,0,21,7,14,5,26,15,33,26,69,51,165,202,305,128,425,231,116,53,15,15,46,6114
2224,38,10,7,39,22,25,9,24,9,23,9,24,8,27,36,70,46,136,99,100,57,23,52,30,4549
2225,7,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,18,29,27,8,3,7,3,1698
2226,14,6,12,57,21,32,13,26,9,22,15,27,17,35,24,46,22,124,101,56,21,16,11,26,3827
2227,33,9,6,29,5,17,12,16,8,19,9,24,12,33,36,110,57,269,178,133,38,11,10,31,4524
2228,44,15,21,138,28,39,29,45,20,33,17,36,21,68,61,180,162,464,251,92,48,26,30,68,5527
2229,50,21,21,135,23,41,30,34,42,93,45,51,31,84,95,148,109,471,310,200,94,53,79,79,9169
2230,87,11,10,41,17,33,20,46,19,66,57,194,168,293,202,402,174,938,408,242,111,67,99,99,9721
2231,10,0,0,0,0,0,0,0,0,0,0,3,9,8,0,3,3,20,24,15,7,5,0,8,678
2232,60,29,26,164,39,54,27,68,27,45,22,59,38,111,173,490,300,663,314,158,59,15,14,90,10114
2233,35,3,5,29,0,17,5,14,12,21,9,42,17,49,49,158,59,218,186,85,28,0,0,37,9251
2234,32,0,5,9,6,16,7,30,17,19,19,18,12,19,11,23,21,190,197,146,86,27,20,46,9039
2250,178,65,68,429,133,269,182,281,157,310,213,660,464,854,577,693,269,764,199,46,23,11,21,223,21056
2251,72,19,12,93,34,57,36,63,40,68,52,154,70,172,123,171,92,383,161,52,31,9,12,58,12590
2256,46,28,25,211,31,72,50,81,49,86,49,150,121,236,143,187,91,220,70,19,5,0,3,72,6015
2257,78,11,13,47,19,57,57,177,122,197,158,280,222,506,303,335,123,417,117,31,10,3,3,71,11008
2258,15,4,0,11,0,9,6,21,7,8,12,59,37,52,31,33,14,35,11,6,0,0,0,3,1570
2259,111,37,28,152,101,235,147,201,110,239,198,485,333,576,367,440,230,915,135,20,10,4,10,149,18290
2260,56,0,3,9,13,19,13,35,20,45,51,94,41,113,85,156,89,423,242,130,47,17,29,40,8424
2261,127,45,63,262,70,203,136,271,148,322,308,603,396,673,437,554,216,634,133,46,19,5,11,173,18647
2262,38,6,5,25,23,52,50,92,55,116,126,257,189,321,169,186,77,153,11,0,4,0,6,51,6774
2263,65,22,19,120,32,128,107,201,96,249,224,471,276,367,194,163,55,136,30,6,0,8,0,92,8180
2264,37,0,9,34,16,34,26,47,35,83,38,159,90,193,124,96,76,110,14,4,0,0,0,36,5267
2265,7,0,13,6,15,8,23,50,9,30,21,36,19,39,28,31,20,46,13,0,0,0,0,10,1839
2267,11,0,0,5,5,22,17,29,9,18,14,32,16,27,10,15,6,21,3,0,0,0,0,3,1113
2278,6,0,0,0,0,0,4,6,0,4,5,13,18,20,11,17,5,7,0,0,0,0,0,6,796
2280,47,27,20,176,46,104,75,137,89,124,100,207,146,211,135,184,70,194,87,13,8,0,6,66,8948
2281,52,10,8,55,31,70,69,69,37,80,65,130,66,119,69,75,41,110,38,11,0,3,0,35,5273
2282,36,0,0,20,9,18,9,30,13,39,33,84,73,150,76,81,39,149,46,17,6,0,0,26,5052
2283,49,26,26,168,58,124,67,112,74,126,144,251,144,209,126,111,56,113,25,5,5,0,9,68,8010
2284,23,5,9,79,20,64,39,70,34,58,49,116,91,132,71,71,31,61,11,4,4,0,0,46,3427
2285,39,27,21,97,37,92,38,124,58,100,74,224,170,291,201,212,78,476,29,3,0,0,4,60,9480
2286,13,0,9,0,4,9,4,6,0,17,6,34,20,39,15,21,3,23,0,0,0,0,0,3,1314
2287,73,36,46,173,57,164,67,158,90,163,125,331,281,498,305,288,107,464,78,23,13,5,6,102,10698
2289,39,16,9,60,25,41,34,68,30,86,77,173,100,162,125,154,73,248,50,19,7,0,4,53,6193
2290,76,30,18,139,48,137,77,131,81,112,119,286,244,363,219,265,99,276,79,21,15,3,8,86,10941
2291,26,30,13,119,17,38,17,50,42,58,71,111,101,174,112,151,55,235,126,49,26,13,18,46,4342
2292,8,0,0,3,6,11,12,25,15,22,29,40,26,49,29,53,15,60,4,0,0,0,0,9,776
2293,10,0,5,6,5,12,14,17,13,15,13,29,24,40,37,49,25,103,42,3,0,0,3,7,890
2294,8,9,4,19,0,12,9,9,11,21,12,23,22,47,31,37,20,59,9,3,0,0,0,14,606
2295,14,9,8,58,21,34,12,33,20,33,19,40,27,37,37,46,16,119,33,3,0,0,0,20,2496
2296,8,12,5,8,6,10,4,15,16,23,18,35,23,49,27,38,11,61,18,5,0,0,0,6,580
2297,4,4,4,5,3,9,10,20,9,16,7,16,14,20,17,20,12,24,3,3,0,0,0,3,514
2298,24,21,17,144,39,65,42,73,42,72,74,141,76,145,119,135,53,140,22,9,5,5,8,46,2689
2299,24,29,28,138,60,120,35,109,52,95,67,166,128,234,154,125,53,136,31,7,5,12,17,59,2936
