Postcode,Nil payments,$1-$74,$75-$99,$100-$124,$125-$149,$150-$174,$175-$199,$200-$224,$225-$249,$250-$274,$275-$299,$300-$324,$325-$349,$350-$374,$375-$399,$400-$424,$425-$449,$450-$549,$550-$649,$650-$749,$750-$849,$850-$949,$950 and over,Not stated,Not applicable
3052,25,0,5,8,11,8,19,24,18,25,48,111,99,106,89,129,84,209,76,37,38,41,41,49,1161
3053,119,46,62,219,90,113,79,119,228,401,268,457,455,359,352,382,174,1132,633,240,130,63,132,204,3766
3054,30,14,15,40,16,24,24,35,29,21,27,67,30,53,59,120,60,379,286,167,62,55,58,44,2361
3055,61,17,14,85,35,60,41,102,165,280,223,329,190,289,121,151,59,321,154,53,26,12,23,55,4095
3056,89,32,28,134,46,72,62,132,119,210,173,309,236,437,302,415,227,968,568,248,93,43,57,116,6648
3057,50,4,7,43,18,26,19,40,54,82,91,163,158,401,145,215,135,622,253,120,38,17,31,62,3206
3058,112,27,21,134,61,80,97,97,131,146,157,370,294,425,284,334,161,714,212,78,31,3,26,133,9943
3059,19,0,0,0,0,4,0,3,7,7,6,25,13,47,60,96,16,54,10,3,0,0,4,16,4468
3060,44,10,8,18,13,22,19,38,37,85,109,200,175,242,94,70,20,25,9,3,0,4,12,50,3823
3061,17,5,0,11,3,12,11,29,50,33,34,70,38,32,12,4,0,11,0,0,0,0,3,13,1415
3062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3063,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181
3064,103,17,18,37,13,35,36,81,72,102,257,1253,969,1006,437,341,62,105,19,15,10,11,45,161,17907
3065,33,30,52,173,76,110,81,107,65,79,72,106,62,98,53,107,56,390,320,168,99,61,81,94,2642
3066,22,37,41,210,89,66,45,110,48,100,49,62,48,124,136,197,64,467,273,109,62,19,31,75,2182
3067,37,13,6,34,10,22,12,40,28,35,27,123,90,186,155,205,98,506,218,117,56,20,27,40,2285
3068,62,39,39,235,67,75,52,71,48,78,102,171,105,141,116,150,110,612,508,282,151,83,98,110,5467
3070,78,38,37,167,41,51,53,78,100,198,136,204,128,218,164,197,125,760,473,199,75,30,40,85,7299
3071,59,29,22,98,29,42,50,178,135,302,269,293,161,224,116,217,105,480,218,71,31,7,22,82,5431
3072,119,57,41,223,84,104,141,207,116,176,196,476,348,599,403,478,192,555,131,46,17,5,31,171,9355
3073,163,69,55,361,145,175,132,206,179,463,611,1199,761,868,383,367,114,259,43,19,14,4,57,256,14943
3074,57,9,5,31,18,32,34,56,77,153,187,509,271,242,62,40,11,16,12,8,0,0,15,67,5979
3075,77,16,4,24,18,37,27,39,40,114,195,537,283,204,74,60,19,45,9,5,5,5,10,73,6421
3076,56,19,9,32,20,40,34,49,55,144,255,670,450,478,150,124,26,62,19,5,11,6,20,107,8440
3078,47,15,3,43,14,19,18,36,73,157,171,158,84,118,70,73,46,229,131,73,38,15,18,65,3394
3079,41,14,15,45,17,21,14,34,25,71,84,139,108,175,122,116,57,285,141,54,25,10,29,48,5103
3081,35,57,50,278,75,88,63,100,81,80,134,262,214,241,117,128,45,104,14,4,4,0,12,108,3680
3082,59,10,12,25,13,31,18,34,38,66,92,470,342,389,119,96,28,53,18,6,5,0,14,72,8560
3083,68,11,15,71,49,72,58,53,38,110,207,485,385,481,219,198,73,350,79,21,25,4,21,99,9015
3084,82,11,11,33,11,34,25,51,43,68,110,198,169,302,170,224,113,366,89,33,16,3,24,55,8329
3085,36,7,0,42,16,21,27,62,67,77,36,143,104,137,93,90,40,126,27,17,10,0,5,33,4334
3086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,31
3087,20,4,3,36,8,13,16,20,15,28,42,91,92,126,61,64,24,41,3,5,0,0,3,29,2968
3088,31,12,20,63,38,19,18,36,22,57,73,215,159,194,149,147,51,196,36,11,0,0,14,56,8933
3089,16,8,0,8,4,7,5,8,7,7,14,44,19,61,27,44,17,58,25,9,3,0,0,15,3740
3090,3,0,0,0,0,5,0,3,0,0,4,0,0,0,0,3,0,8,5,9,0,0,0,0,709
3091,3,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,10,0,0,0,0,0,3,505
3093,7,0,0,4,0,6,3,7,6,8,18,32,35,40,18,8,5,21,4,4,0,0,4,8,1312
3094,16,0,0,18,3,6,7,16,8,20,27,59,55,84,56,59,28,85,12,9,0,0,4,19,3128
3095,47,5,13,39,13,14,12,13,11,19,22,68,76,103,57,102,46,179,63,20,10,3,7,42,9048
3096,0,0,0,0,0,0,0,3,0,0,0,5,0,0,5,3,0,7,0,0,0,0,0,0,599
3097,3,0,0,0,0,0,0,0,3,7,3,0,0,0,0,0,0,4,7,0,0,0,5,5,448
3099,15,0,0,19,7,8,5,3,0,3,3,12,10,5,10,19,3,14,0,0,0,0,0,10,1647
3101,114,4,3,24,17,27,11,31,20,23,35,119,140,277,200,210,113,528,263,133,80,73,194,102,7589
3102,23,0,3,4,5,0,3,14,3,6,9,26,26,61,34,34,25,106,64,35,16,17,15,23,2058
3103,70,5,7,19,11,23,19,15,10,16,14,79,76,137,110,112,55,211,105,89,51,33,72,50,5069
3104,71,3,5,7,6,4,5,15,7,20,14,34,38,77,57,90,50,297,196,103,57,38,42,48,6325
3105,47,5,0,0,7,14,10,13,15,18,17,33,37,74,75,99,35,146,51,22,5,0,3,32,3668
3106,36,0,0,4,0,6,3,0,7,6,9,20,34,66,50,56,41,163,103,40,23,6,23,35,5364
3107,44,3,0,9,4,9,0,4,5,12,16,32,33,70,65,87,51,198,80,24,5,3,3,37,4555
3108,86,4,6,23,14,23,21,16,14,38,40,84,95,222,176,250,141,548,195,59,22,4,15,90,7092
3109,100,8,4,39,11,26,21,21,20,26,21,90,85,193,171,258,151,505,217,60,21,6,27,83,8861
3111,25,4,0,6,7,13,0,5,11,6,6,25,39,84,64,70,38,104,49,14,4,0,8,35,3992
3113,20,3,5,6,0,7,5,7,6,3,7,10,8,8,8,12,10,42,16,10,4,0,4,11,2758
3114,9,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,3,3,0,0,0,4,5,1185
3115,8,0,0,0,0,3,0,4,0,5,3,3,0,8,0,0,0,13,6,3,0,0,0,8,1194
3116,4,4,4,4,0,7,0,22,5,9,14,32,38,69,56,53,27,67,8,10,4,0,0,16,3305
3121,95,67,108,409,167,215,115,172,86,218,233,430,231,348,353,464,186,1227,984,525,262,148,149,207,8497
3122,94,10,14,49,23,57,85,158,173,300,273,421,316,557,422,428,200,706,272,141,83,53,120,95,6538
3123,51,19,5,55,9,24,42,88,27,42,73,138,136,291,220,260,108,352,202,109,60,26,70,72,4202
3124,65,0,10,11,6,15,20,49,22,14,20,61,67,187,137,209,109,357,188,127,98,59,114,71,6673
3125,49,17,12,79,50,83,61,147,62,62,30,59,44,101,106,155,77,313,174,96,25,10,25,81,4114
3126,31,0,6,15,9,0,10,26,6,6,4,11,14,38,41,49,16,69,44,35,29,26,54,22,2537
3127,48,3,10,15,12,10,10,26,18,22,18,91,85,158,143,162,79,250,121,93,48,23,51,43,5797
3128,84,20,31,94,48,66,60,236,125,118,134,269,201,322,242,240,168,489,174,67,26,8,23,115,5378
3129,70,12,0,39,14,46,8,16,18,35,43,105,124,206,177,207,89,329,98,49,22,11,15,60,5347
3130,96,21,16,82,45,65,40,65,52,78,68,159,187,316,256,297,137,383,140,54,14,0,23,108,10164
