POSTCODES,Major Cities of Australia ,Inner Regional Australia ,Outer Regional Australia ,Remote Australia ,Very Remote Australia ,Migratory - Offshore - Shipping ,Total
2346,0,0,1518,0,0,0,1518
2347,0,0,1051,0,0,0,1051
2350,0,9689,1464,0,0,0,11149
2351,0,12,0,0,0,0,12
2352,0,1057,95,0,0,0,1149
2353,0,33,424,0,0,0,460
2354,0,0,1840,0,0,0,1840
2355,0,0,345,0,0,0,345
2356,0,0,0,80,0,0,80
2357,0,0,2035,0,0,0,2035
2358,0,1159,622,0,0,0,1777
2359,0,0,360,0,0,0,360
2360,0,0,6353,0,0,0,6353
2361,0,0,448,0,0,0,448
2365,0,0,1724,0,0,0,1724
2369,0,0,402,0,0,0,402
2370,0,0,3720,0,0,0,3720
2371,0,0,678,0,0,0,678
2372,0,0,2563,0,0,0,2563
2379,0,0,163,0,0,0,163
2380,0,0,4630,0,0,0,4630
2381,0,0,562,0,0,0,562
2382,0,0,696,0,0,0,696
2386,0,0,0,204,0,0,204
2387,0,0,0,106,0,0,106
2388,0,0,979,262,0,0,1238
2390,0,0,3941,0,0,0,3941
2395,0,0,416,0,0,0,416
2396,0,0,29,428,0,0,454
2397,0,0,149,17,0,0,160
2398,0,0,99,0,0,0,99
2399,0,0,269,0,0,0,269
2400,0,0,4620,119,0,0,4731
2401,0,0,144,0,0,0,144
2402,0,0,857,0,0,0,857
2403,0,0,315,0,0,0,315
2404,0,0,971,0,0,0,971
2405,0,0,0,282,0,0,282
2408,0,0,204,0,0,0,204
2409,0,0,396,0,0,0,396
2410,0,0,152,0,0,0,152
2411,0,0,54,0,0,0,54
2415,0,190,0,0,0,0,190
2420,0,1783,157,0,0,0,1941
2421,0,746,0,0,0,0,746
2422,0,1980,790,0,0,0,2769
2423,0,1719,0,0,0,0,1719
2424,0,150,68,0,0,0,225
2425,0,824,0,0,0,0,824
2426,0,325,0,0,0,0,325
2427,0,1851,0,0,0,0,1851
2428,0,14547,0,0,0,0,14547
2429,0,3901,549,0,0,0,4448
2430,0,15660,0,0,0,0,15660
2431,0,0,3075,0,0,0,3075
2439,0,1230,0,0,0,0,1230
2440,0,5896,3709,0,0,0,9605
2441,0,489,1473,0,0,0,1961
2443,0,4744,0,0,0,0,4744
2444,0,22203,0,0,0,0,22203
2445,0,2918,0,0,0,0,2918
2446,0,4881,507,0,0,0,5383
2447,0,0,3354,0,0,0,3354
2448,0,0,4819,0,0,0,4819
2449,0,0,992,0,0,0,992
2450,0,17981,1155,0,0,0,19139
2452,0,6819,0,0,0,0,6819
2453,0,0,1489,0,0,0,1489
2454,0,101,3334,0,0,0,3435
2455,0,0,1581,0,0,0,1581
2456,0,6787,0,0,0,0,6787
2460,0,10167,2834,0,0,0,13001
2462,0,208,1302,0,0,0,1507
2463,0,3070,432,0,0,0,3503
2464,0,4174,0,0,0,0,4174
2465,0,154,0,0,0,0,154
2466,0,1306,0,0,0,0,1306
2469,0,782,1408,0,0,0,2192
2470,0,6488,14,0,0,0,6496
2471,0,1030,0,0,0,0,1030
2472,0,818,0,0,0,0,818
2473,0,1927,0,0,0,0,1927
2474,0,2875,238,0,0,0,3108
2475,0,0,203,0,0,0,203
2476,0,0,472,0,0,0,472
2477,0,5202,0,0,0,0,5202
2478,0,13420,0,0,0,0,13420
2479,0,2071,0,0,0,0,2071
2480,0,19766,0,0,0,0,19766
2481,0,6106,0,0,0,0,6106
2482,0,3017,0,0,0,0,3017
2483,0,5229,0,0,0,0,5229
2484,4026,4135,0,0,0,0,8159
2485,7983,0,0,0,0,0,7983
2486,13976,269,0,0,0,0,14246
2487,6508,107,0,0,0,0,6618
2488,1475,0,0,0,0,0,1475
2489,3159,52,0,0,0,0,3212
2490,259,21,0,0,0,0,278
2500,18766,0,0,0,0,0,18766
