Postcode,Negative income,Nil income,"$1-$149 ($1-$7,799)","$150-$299 ($7,800-$15,599)","$300-$399 ($15,600-$20,799)","$400-$499 ($20,800-$25,999)","$500-$649 ($26,000-$33,799)","$650-$799 ($33,800-$41,599)","$800-$999 ($41,600-$51,999)","$1,000-$1,249 ($52,000-$64,999)","$1,250-$1,499 ($65,000-$77,999)","$1,500-$1,749 ($78,000-$90,999)","$1,750-$1,999 ($91,000-$103,999)","$2,000-$2,999 ($104,000-$155,999)","$3,000 or more ($156,000 or more)",Not stated,Not applicable
6355,0,12,5,22,18,14,22,22,45,35,26,13,11,23,17,31,115
6356,0,5,3,4,3,3,5,0,6,17,14,5,5,6,5,5,24
6357,0,5,0,9,3,3,7,3,7,3,7,5,4,0,0,9,12
6358,0,6,0,0,8,3,12,10,6,7,9,4,3,3,5,6,11
6359,5,3,16,21,14,23,27,34,42,36,20,25,11,29,12,35,86
6361,0,8,0,3,12,7,7,3,3,9,4,3,0,6,0,10,24
6363,0,3,3,4,9,6,5,10,5,3,14,0,4,0,0,14,28
6365,0,20,6,35,31,37,53,27,44,45,24,24,13,17,9,42,98
6367,0,19,6,26,21,35,21,22,26,31,15,9,4,12,3,26,68
6368,0,6,0,0,8,5,0,11,9,6,4,3,0,4,0,0,16
6369,4,32,18,35,57,48,35,28,57,57,35,28,21,21,21,63,107
6370,5,22,22,30,44,39,28,37,34,33,12,16,7,9,6,18,102
6372,0,0,4,3,9,12,12,6,8,0,5,3,3,0,0,27,17
6373,0,0,3,0,8,3,8,7,8,14,7,3,0,0,0,5,25
6375,4,38,29,41,78,65,62,59,73,71,47,49,38,29,17,99,197
6383,4,40,19,59,112,95,75,46,61,54,38,27,12,34,26,121,162
6384,0,0,0,3,0,0,7,7,0,0,4,4,0,0,0,4,9
6385,0,6,0,6,0,0,3,0,0,0,0,0,0,0,3,0,0
6386,0,0,3,5,0,14,6,5,0,5,4,0,3,8,15,11,7
6390,7,158,42,81,91,92,77,76,65,54,80,85,98,185,75,149,406
6391,0,39,22,48,55,52,53,68,71,86,58,39,46,43,10,105,203
6392,5,18,9,20,45,26,36,32,23,48,15,13,16,15,6,27,94
6393,0,6,3,12,16,11,4,9,10,4,0,0,0,0,0,17,25
6394,0,15,20,21,38,31,32,40,35,24,24,17,7,21,10,38,87
6395,10,53,42,73,98,97,124,101,121,122,76,60,42,45,41,178,356
6396,8,6,7,26,19,17,24,30,32,31,15,17,0,13,5,52,69
6397,0,10,4,10,6,7,12,6,0,6,0,0,0,3,0,8,20
6398,0,24,17,40,68,72,48,47,27,29,21,11,10,15,0,67,68
6401,31,463,240,480,597,583,459,404,426,438,301,277,206,288,120,1297,1566
6403,0,10,4,8,21,16,9,13,7,9,4,13,3,13,0,15,28
6405,0,20,6,12,26,26,18,29,26,11,17,12,3,12,3,18,73
6407,10,131,35,58,55,70,51,48,86,89,39,45,30,41,21,125,201
6409,0,13,3,20,32,31,26,27,24,19,17,16,6,11,5,55,94
6410,5,59,26,72,96,106,56,53,63,55,42,31,22,24,12,136,193
6411,0,7,0,5,12,15,4,15,8,3,8,9,0,8,5,13,15
6412,0,0,0,0,0,0,0,6,6,5,0,8,0,6,4,5,12
6413,0,4,0,4,7,6,0,5,0,0,0,3,3,0,0,3,4
6414,0,3,3,0,0,4,3,9,3,7,3,3,0,5,0,7,16
6415,12,225,130,136,199,194,178,183,176,201,125,125,82,137,51,268,584
6418,0,35,10,39,54,53,38,41,54,40,25,26,27,28,22,55,145
6419,0,0,5,7,4,5,3,0,3,8,0,0,0,0,0,0,14
6420,3,4,6,3,4,12,7,3,5,9,3,4,4,3,10,15,20
6421,0,9,4,9,13,0,6,6,13,13,5,7,6,3,0,20,37
6422,0,0,0,3,0,0,0,0,8,3,4,0,9,5,3,9,14
6423,0,10,0,3,14,17,13,5,14,20,4,13,7,29,10,25,29
6424,0,10,0,0,4,3,3,11,3,3,3,4,6,3,0,11,8
6425,0,4,8,0,5,0,3,6,13,8,0,4,0,0,0,18,6
6426,5,57,11,52,54,51,51,47,30,41,53,34,32,67,24,112,140
6427,0,0,0,0,0,0,0,0,0,6,6,0,3,32,21,30,0
6428,0,0,0,7,4,4,6,5,5,0,0,0,0,0,0,3,19
6429,5,78,16,74,71,70,51,54,45,45,34,38,22,47,10,118,203
6430,110,1597,599,720,777,918,857,936,1069,1275,1129,1256,1057,2249,828,2043,5322
6431,0,34,16,201,108,47,19,14,17,39,27,30,35,63,33,139,177
6432,26,483,172,329,347,334,267,300,362,428,342,336,301,496,131,893,1554
6434,6,5,0,18,4,7,5,9,6,11,11,5,13,31,20,13,11
6436,0,8,0,4,5,7,7,9,6,5,6,3,4,3,0,14,20
6437,3,33,0,4,8,13,3,8,10,19,31,35,41,93,20,144,113
6438,3,25,12,45,36,29,34,30,31,29,39,45,52,85,46,183,115
6440,5,27,12,91,43,27,28,27,36,34,50,72,97,205,61,204,149
6442,22,247,68,109,103,84,70,78,96,85,86,87,119,287,81,299,628
6443,5,38,17,38,70,77,31,46,45,39,25,42,24,56,17,159,116
6445,0,6,3,12,7,15,14,12,5,12,9,9,3,6,15,31,47
6446,0,4,3,0,6,0,6,8,15,13,3,0,8,4,13,14,30
