Postcode,Negative income,Nil income,"$1-$149 ($1-$7,799)","$150-$299 ($7,800-$15,599)","$300-$399 ($15,600-$20,799)","$400-$499 ($20,800-$25,999)","$500-$649 ($26,000-$33,799)","$650-$799 ($33,800-$41,599)","$800-$999 ($41,600-$51,999)","$1,000-$1,249 ($52,000-$64,999)","$1,250-$1,499 ($65,000-$77,999)","$1,500-$1,749 ($78,000-$90,999)","$1,750-$1,999 ($91,000-$103,999)","$2,000-$2,999 ($104,000-$155,999)","$3,000 or more ($156,000 or more)",Not stated,Not applicable
5106,0,36,50,10,15,17,6,3,4,3,0,0,0,0,0,52,0
5107,101,1455,659,1392,1581,1331,1191,1200,1371,1130,613,336,196,154,50,820,3517
5108,194,2941,1561,3701,3739,3275,2726,3013,3231,2587,1254,737,399,317,113,2377,8443
5109,88,1328,790,1582,2002,1777,1431,1500,1755,1534,797,609,345,312,88,1083,3848
5110,34,663,319,695,732,567,557,643,715,620,342,192,111,94,25,614,2038
5111,0,0,4,4,0,0,0,17,71,75,45,14,3,6,0,34,0
5112,78,1117,761,1939,2061,2045,1316,1220,1227,1031,494,316,185,172,83,1596,3781
5113,76,1035,583,2058,2070,2012,1382,1260,1105,719,298,133,73,51,64,1689,4285
5114,142,2294,1149,2252,2475,2154,2232,2389,2699,2486,1412,938,567,533,168,1802,8267
5115,47,564,287,750,655,580,699,802,870,773,419,273,138,94,30,563,2845
5116,42,563,334,638,842,736,701,643,639,690,419,281,201,200,51,554,1908
5117,17,198,125,141,170,150,188,185,205,252,165,108,92,101,18,130,702
5118,61,1082,772,1124,1547,1450,1286,1170,1335,1347,861,710,498,592,179,1104,3304
5120,14,152,57,125,180,161,111,136,145,141,68,48,35,36,22,146,413
5121,18,120,45,122,173,174,140,129,126,124,64,46,19,27,4,79,267
5125,55,1273,814,1047,1273,1158,1166,1182,1457,1559,1020,873,654,908,284,814,3693
5126,19,425,248,402,505,454,503,515,565,634,414,335,236,227,51,264,1384
5127,13,493,353,447,598,553,490,519,620,662,480,373,248,299,69,256,1286
5131,4,45,48,53,66,73,65,68,65,77,51,43,31,39,16,72,152
5132,0,39,19,18,32,20,28,26,28,34,22,23,8,18,18,18,86
5133,0,23,17,23,32,20,21,40,26,21,13,19,22,22,16,25,67
5134,0,32,21,31,25,27,24,31,18,27,23,12,14,23,18,30,82
5136,0,38,22,32,41,32,30,34,27,35,19,20,16,26,12,34,110
5137,5,32,37,32,30,29,29,37,42,42,30,26,10,32,23,35,99
5138,0,7,17,20,18,18,18,22,17,24,10,14,20,17,3,9,54
5139,0,14,8,9,13,10,10,14,18,13,10,14,8,13,4,18,46
5140,0,29,25,14,13,10,15,24,27,36,28,33,28,26,16,14,90
5141,8,40,26,43,50,35,46,34,44,50,36,26,29,44,17,35,133
5142,0,28,19,38,38,52,33,44,35,48,28,18,17,30,24,24,110
5144,0,36,13,21,29,23,25,25,41,24,24,17,20,17,29,22,48
5150,0,3,0,4,7,3,4,5,0,3,0,0,0,0,3,9,8
5151,0,24,18,20,17,9,20,18,25,34,20,18,14,27,18,19,71
5152,18,425,249,246,278,305,390,318,333,357,309,324,293,404,372,262,1248
5153,13,445,291,341,413,367,394,357,393,506,340,296,208,293,241,370,1157
5154,13,227,162,172,146,160,181,144,184,229,180,176,131,215,191,162,684
5155,7,245,138,172,201,211,191,239,275,306,230,201,149,215,85,148,807
5156,4,74,47,48,49,52,47,45,59,63,59,63,38,65,22,30,182
5157,8,188,111,169,186,169,196,214,199,247,148,133,91,114,90,179,482
5158,67,1665,1043,1333,1486,1572,1653,1668,1970,2240,1474,1217,719,842,211,861,4712
5159,129,2293,1420,1949,2212,2218,2179,2161,2679,2762,1802,1524,983,1208,399,1184,5832
5160,0,0,0,5,8,3,0,0,0,0,0,3,0,0,0,0,4
5161,26,614,381,688,882,851,848,782,867,834,528,330,166,141,36,393,1780
5162,89,2097,1203,2336,3206,2903,2633,2565,2863,2577,1476,1018,554,515,122,1906,6224
5163,43,789,521,1225,1453,1282,1151,1042,1032,966,502,310,178,176,64,801,2580
5164,17,297,166,483,655,643,385,333,325,244,105,69,27,32,26,506,974
5165,26,283,143,389,478,525,471,384,373,329,168,125,80,70,38,577,921
5166,7,93,49,141,228,199,161,147,162,124,62,39,16,14,10,130,302
5167,28,337,193,385,490,460,406,376,401,419,273,205,131,138,34,464,955
5168,28,301,198,411,517,473,382,380,441,389,211,143,94,93,24,333,1075
5169,67,943,649,1018,1401,1259,1227,1111,1345,1328,779,546,353,339,101,936,3686
5170,3,69,37,87,78,108,84,93,90,94,54,34,18,31,7,71,189
5171,15,337,258,391,447,460,423,383,393,450,291,244,154,191,89,395,1004
5172,16,242,151,216,275,270,282,272,299,266,211,160,118,139,70,238,712
5173,44,653,440,854,1013,987,880,918,875,855,453,363,215,202,100,975,2941
5174,11,176,99,222,250,231,217,211,204,206,115,94,42,58,13,205,565
5201,11,122,69,112,106,137,133,143,134,155,102,74,51,90,27,139,354
5202,7,54,30,61,55,70,63,68,64,64,40,35,14,25,6,57,169
5203,10,57,59,79,136,151,104,98,75,69,40,26,9,23,17,127,189
5204,10,106,97,243,401,343,274,208,177,169,86,55,31,43,29,210,335
5210,9,132,58,112,110,109,139,106,155,100,73,58,33,39,13,111,360
5211,56,671,533,1152,2071,1892,1517,1194,944,828,376,274,220,232,130,1171,2010
5212,8,70,55,170,291,236,228,159,126,104,56,48,35,29,16,224,257
5213,9,63,48,74,96,97,112,95,90,59,44,50,25,40,17,54,189
5214,19,322,244,707,1220,1054,821,634,525,399,215,140,102,116,57,795,1009
5220,0,3,3,5,10,12,16,23,15,7,4,4,0,0,5,17,31
5221,0,12,11,24,32,31,19,16,16,16,13,0,0,0,0,42,48
5222,5,17,29,53,73,59,61,51,37,32,18,16,16,7,0,74,83
5223,29,143,125,240,326,339,319,287,301,232,119,86,53,56,33,335,621
5231,3,95,50,74,90,80,73,66,90,90,62,57,42,58,27,68,196
5232,4,23,19,25,30,15,25,38,36,29,27,24,16,23,8,23,64
5233,3,107,55,99,130,98,112,99,104,105,60,57,46,59,27,96,228
5234,4,92,57,66,89,75,99,75,110,73,62,60,35,43,19,79,259
5235,20,153,91,141,225,208,191,152,193,183,115,66,47,63,35,183,418
5236,3,24,12,17,28,24,25,17,16,20,13,11,0,8,4,39,40
5237,0,17,12,29,30,33,32,23,32,15,13,12,4,0,0,32,79
5238,14,193,143,359,538,522,325,286,250,216,120,73,38,59,23,362,564
5240,3,34,22,36,38,23,31,34,31,45,27,15,11,25,5,12,80
5241,5,139,90,137,207,190,202,222,180,184,111,84,67,61,26,134,495
5242,5,106,74,92,109,94,113,109,124,106,88,69,54,72,52,85,272
5243,0,48,32,38,54,47,60,63,62,69,31,32,27,45,42,57,123
5244,23,277,167,226,338,276,266,291,283,318,227,177,127,123,60,318,761
5245,12,156,120,138,189,301,242,177,196,165,163,135,100,125,89,267,502
5250,15,210,148,170,182,213,238,187,230,302,159,182,125,162,72,141,794
5251,43,862,573,846,1036,1099,1000,1001,1119,1065,670,538,376,431,226,793,2968
5252,18,376,236,340,424,357,419,488,463,546,361,281,172,182,55,336,1461
5253,88,966,557,1370,2001,1702,1473,1626,1464,1101,514,336,230,188,87,1591,3194
5254,17,147,104,192,174,155,182,212,189,152,101,75,41,32,19,182,421
5255,28,572,341,574,763,795,686,623,678,639,400,289,160,247,83,655,1714
5256,4,73,46,111,191,178,114,75,90,81,41,16,23,12,8,109,180
5259,13,52,41,84,112,105,64,90,87,64,28,21,13,21,11,119,188
5260,8,77,60,148,262,183,176,131,114,88,40,20,22,8,18,119,280
5261,11,19,15,34,25,21,22,32,22,27,17,5,3,5,4,21,75
5262,5,16,13,21,23,28,31,27,45,35,10,18,10,3,8,30,89
5263,0,6,0,9,0,7,13,5,18,13,3,9,9,4,4,10,22
5264,7,45,29,84,141,173,111,108,83,60,37,32,14,15,15,110,202
5265,3,21,15,31,45,43,31,27,32,24,10,5,4,3,3,36,92
5266,0,29,18,21,36,58,58,44,61,53,25,12,7,12,7,40,141
5267,29,74,53,107,129,147,141,157,179,165,65,55,34,28,19,157,415
5268,32,141,121,188,277,239,279,408,312,227,123,93,40,51,42,350,621
5269,5,18,9,25,21,19,32,27,12,15,4,4,3,0,0,22,48
5270,3,26,21,29,40,44,48,62,60,48,28,16,15,12,0,36,114
5271,42,356,224,438,534,557,621,673,650,589,325,201,108,122,101,455,1441
5272,6,53,24,45,54,50,53,61,61,70,52,21,12,27,15,46,146
5273,0,6,0,3,3,9,8,13,3,9,6,9,0,0,3,9,27
5275,17,105,87,175,236,220,205,177,191,137,85,66,51,62,40,190,375
5276,13,36,25,77,109,102,109,83,96,107,50,31,25,32,12,104,160
5277,21,137,99,208,262,220,203,220,248,212,134,78,54,41,37,186,570
5278,3,38,17,40,44,45,37,38,29,32,19,11,8,13,4,33,99
5279,0,23,13,57,62,32,34,56,28,39,12,16,4,9,3,46,101
5280,32,392,258,581,733,688,538,475,495,382,237,214,162,198,89,639,1263
5290,100,1152,881,1721,2294,2234,1822,1926,1953,1811,1033,722,438,497,202,1712,5019
5291,56,410,330,436,614,561,609,603,671,666,396,327,221,271,154,1049,1810
5301,9,39,19,45,60,33,48,46,39,31,16,12,7,13,4,46,117
5302,3,30,18,58,73,80,77,68,42,70,37,26,20,16,11,81,145
5303,4,12,8,5,17,18,10,23,18,16,6,8,6,0,3,15,44
5304,3,28,19,49,76,72,65,52,63,48,40,36,13,17,7,59,127
5306,4,6,9,9,5,8,11,4,3,6,0,3,0,0,0,0,14
5307,0,32,14,56,77,84,36,31,39,23,5,5,6,7,5,40,96
5308,0,10,5,12,6,9,20,16,14,4,5,0,0,3,0,3,30
5309,0,15,0,18,16,14,12,12,9,10,0,0,0,0,0,16,24
5310,0,6,0,5,9,3,7,3,6,5,5,0,0,5,0,6,9
5311,5,22,20,36,35,31,42,38,27,31,16,5,4,0,11,23,74
5320,0,35,24,81,98,87,52,40,31,37,19,13,7,5,3,36,66
5321,0,14,12,32,40,39,38,28,27,21,9,12,5,3,6,237,31
5322,5,51,44,64,88,89,72,95,83,68,37,25,8,10,4,89,148
5330,17,163,132,235,343,323,264,265,240,191,116,66,57,54,20,283,593
5331,0,11,13,27,31,28,31,21,22,21,12,4,6,0,0,28,60
5332,4,13,7,29,41,39,24,36,27,32,9,11,4,6,3,34,80
5333,17,237,204,356,570,557,489,461,435,420,230,153,96,89,55,405,1042
5340,3,51,42,87,113,105,120,148,137,104,60,32,29,15,22,121,249
5341,31,407,238,604,803,654,581,617,564,458,230,168,103,110,94,694,1311
5342,4,66,39,84,86,79,103,84,111,81,56,37,15,24,5,60,190
5343,22,200,137,343,519,487,357,348,368,291,171,113,77,80,53,384,891
5344,4,50,40,67,89,73,74,69,79,70,38,24,8,13,3,84,190
5345,14,152,118,283,477,329,293,273,238,209,112,82,46,61,27,267,605
5346,0,20,10,24,34,40,34,22,33,23,16,9,5,7,0,30,73
5350,0,29,27,25,24,23,32,24,29,27,28,20,17,18,4,33,110
5351,14,386,232,349,390,377,373,396,417,422,293,231,162,214,60,364,1180
5352,7,246,209,245,368,471,356,361,422,399,247,211,158,185,118,349,872
5353,13,205,135,231,310,349,266,248,300,295,170,111,68,115,68,227,667
5354,4,26,7,32,67,45,24,37,21,22,6,5,5,3,6,28,31
5355,25,379,252,437,643,612,609,554,610,600,401,276,146,199,56,345,1455
5356,7,53,29,62,71,53,66,53,74,54,37,20,15,12,3,61,138
5357,0,28,13,28,57,49,24,37,26,26,11,4,5,7,5,46,63
5360,5,62,46,68,62,63,73,66,81,101,60,58,28,37,12,58,245
5371,4,95,46,78,66,68,75,84,110,112,71,56,30,38,14,47,275
5372,8,121,81,124,182,119,138,172,157,184,94,84,47,48,10,120,518
5373,14,198,106,227,339,319,274,238,284,234,149,103,56,75,18,171,621
5374,10,76,70,126,189,139,101,91,93,89,55,47,26,13,6,97,253
5381,5,23,13,27,51,40,26,28,23,20,10,0,0,0,4,36,60
5400,5,53,55,84,53,42,53,65,72,63,35,28,22,18,14,41,175
5401,0,53,27,58,57,66,55,49,68,66,29,20,23,7,6,102,169
5410,0,18,9,34,35,22,27,22,14,15,12,15,11,3,0,28,48
5411,0,25,10,20,26,24,17,23,17,15,15,13,3,0,8,23,80
5412,3,78,35,62,135,144,106,67,80,74,59,26,21,27,15,80,178
5413,0,44,22,73,90,85,67,61,56,49,35,21,12,5,9,63,138
5414,0,11,10,7,12,20,7,19,9,6,5,5,0,0,0,14,21
5415,0,6,11,12,27,22,26,18,14,18,6,11,5,4,3,6,33
5416,0,18,8,10,25,17,20,16,16,4,7,12,0,6,0,24,49
5417,7,83,47,102,161,144,126,95,96,77,47,41,28,17,9,133,264
5418,0,8,0,13,10,17,12,14,10,0,5,0,0,0,5,5,18
5419,0,10,13,26,28,15,19,7,15,14,9,7,3,4,9,15,33
5420,0,0,6,4,9,0,5,6,4,6,8,0,0,0,4,11,11
5421,0,6,4,19,21,14,9,11,5,3,0,0,0,0,0,21,16
5422,4,91,40,183,251,233,121,103,90,57,30,28,14,18,11,164,252
5431,3,34,31,61,112,91,60,58,62,63,43,22,22,19,9,76,152
5432,0,5,7,4,14,11,12,9,10,16,7,5,4,7,4,6,19
5433,7,60,52,95,137,128,85,79,83,68,43,48,30,36,24,113,184
5434,3,11,9,40,29,27,30,30,25,34,24,16,4,3,5,80,77
5440,0,15,0,14,17,19,12,20,11,17,11,14,13,14,14,28,38
5451,3,27,37,43,49,59,58,49,49,59,30,22,19,15,3,78,92
5452,5,22,11,19,43,32,41,41,37,32,16,22,11,12,3,19,98
5453,13,192,146,278,377,408,414,395,372,354,205,180,115,152,81,308,950
5454,7,21,12,33,39,26,22,31,27,32,24,9,3,0,3,32,77
5455,0,9,3,0,0,5,3,5,3,5,0,0,0,0,0,5,18
5460,0,78,20,55,55,56,58,67,40,40,23,30,10,14,11,51,140
5461,21,111,83,168,237,278,200,189,180,176,79,70,43,51,25,183,461
5462,0,30,10,26,50,43,50,37,38,37,16,16,3,9,7,11,128
5464,6,36,18,33,55,47,43,36,52,50,26,21,10,9,12,39,135
5470,0,11,5,10,12,14,8,6,14,3,3,0,4,4,5,11,13
5471,0,11,4,9,14,4,11,6,3,0,7,0,0,0,3,3,13
5472,3,7,3,10,29,16,18,3,8,5,0,7,0,0,0,16,25
5473,9,33,21,67,108,78,54,47,45,30,30,10,11,19,0,59,137
5480,10,27,43,61,85,68,59,61,52,57,27,24,16,15,3,40,126
5481,3,45,23,49,81,49,49,38,38,29,17,12,6,8,4,34,68
5482,3,15,20,27,39,67,43,54,29,40,20,18,3,15,5,36,78
5483,0,22,17,18,33,24,19,32,20,23,14,11,9,14,3,28,65
5485,6,29,29,46,62,48,36,32,42,25,28,30,12,12,7,57,93
5490,0,13,8,17,14,14,6,6,14,12,9,6,0,8,0,21,31
5491,11,68,43,104,169,165,143,141,113,127,76,70,44,60,33,124,324
5493,0,6,3,8,15,9,6,3,4,0,0,0,0,0,0,9,12
5495,5,45,18,54,87,59,46,42,28,32,21,22,8,13,11,61,55
5501,40,493,258,444,556,551,468,531,561,542,305,240,135,165,48,527,1451
5502,3,116,55,107,119,88,104,104,124,119,77,67,26,40,20,96,273
5510,0,4,0,3,20,12,10,13,11,11,7,3,3,0,0,3,19
5520,3,34,15,39,67,69,55,43,34,33,16,12,9,10,7,34,100
5521,0,4,8,22,19,23,12,7,3,6,0,0,4,0,0,3,25
5522,3,51,31,120,191,194,109,102,86,69,45,40,32,38,11,143,154
5523,11,97,64,126,182,174,129,119,126,102,96,62,43,53,29,142,367
5540,38,824,535,1340,1739,1660,1036,903,854,764,562,503,301,318,135,1104,2726
5550,14,54,25,50,88,67,59,81,118,41,30,29,7,6,4,49,187
5552,5,16,7,32,45,22,21,22,28,25,13,12,11,3,8,37,77
5554,11,256,178,391,551,461,358,369,371,301,162,127,107,121,38,482,959
5555,0,22,23,44,63,49,45,35,27,23,15,13,13,9,9,44,66
5556,18,161,116,364,573,458,324,277,228,198,129,82,52,66,49,378,558
5558,5,193,163,396,787,544,405,334,292,242,131,112,60,82,36,377,669
5560,0,26,19,30,55,52,34,26,29,20,5,13,10,17,3,31,93
5570,4,19,13,66,92,76,32,30,25,41,19,7,5,3,9,61,41
5571,10,86,53,139,288,225,167,147,104,91,58,60,39,25,14,118,218
5572,4,10,0,6,11,10,10,11,15,17,12,6,9,3,6,11,29
5573,5,93,75,133,216,244,165,138,132,126,65,66,37,41,23,134,359
5575,15,126,79,177,284,266,211,143,120,139,81,51,51,34,14,206,336
5576,4,50,46,85,136,134,90,74,67,56,41,23,7,21,15,55,174
5577,5,36,24,44,57,66,53,35,26,39,16,12,9,15,3,31,71
5580,0,20,12,27,38,29,32,26,27,19,9,15,4,6,3,16,60
5581,3,20,18,43,99,70,64,49,27,28,8,18,6,17,4,28,34
5582,4,33,22,57,97,88,56,33,40,32,19,20,8,11,11,45,64
5583,4,35,24,87,122,91,78,48,42,38,14,15,10,15,10,67,97
5600,25,453,176,380,541,472,371,322,353,366,307,298,261,308,147,425,1001
5601,0,30,14,53,58,45,32,11,14,27,12,18,18,17,7,38,74
5602,6,55,48,95,136,116,91,124,90,61,39,29,24,41,15,146,233
5603,5,14,26,33,41,28,29,31,34,27,22,6,12,17,8,23,98
5604,0,10,6,27,25,18,18,8,17,18,6,6,3,3,4,13,15
5605,11,64,51,117,170,156,157,125,122,112,69,44,33,19,22,164,242
5606,40,581,500,922,1225,1164,1018,1046,973,930,572,479,296,339,173,1142,2730
5607,30,273,152,274,333,345,292,336,361,351,200,156,97,132,60,556,963
5608,50,815,451,1298,1452,1222,783,614,627,581,382,447,326,335,98,1204,2659
5609,7,135,57,97,156,80,95,84,123,102,85,105,100,115,37,85,484
5630,0,6,4,5,6,10,11,8,14,8,0,0,0,0,4,16,29
5631,5,38,37,46,78,78,49,76,84,88,53,33,22,23,18,88,232
5632,0,11,9,14,8,14,8,15,19,26,6,4,9,14,10,11,75
5633,5,26,13,21,19,22,27,18,22,23,9,13,3,7,11,20,65
5640,7,46,49,73,84,77,75,57,81,92,33,37,26,20,14,80,179
5641,7,31,29,41,77,80,73,81,67,77,43,38,19,25,24,76,240
5642,0,12,8,12,10,15,11,18,25,18,14,10,3,10,3,21,63
5650,0,7,0,3,15,15,10,4,19,8,6,17,3,0,7,17,42
5651,0,0,5,4,5,8,0,3,3,9,10,4,0,8,0,3,13
5652,5,21,20,33,80,54,48,45,56,48,34,24,20,10,6,45,174
5653,0,0,0,3,0,9,3,4,4,9,10,6,0,0,0,8,23
5654,0,11,4,23,16,16,10,24,10,28,11,4,4,3,0,24,48
5655,0,4,4,3,7,7,12,8,11,6,0,0,0,0,3,3,32
5660,0,0,0,0,5,3,0,6,3,0,6,4,0,3,3,0,10
5661,0,7,4,9,9,5,8,14,7,18,14,4,0,3,4,5,38
5670,3,17,23,39,52,46,27,36,24,34,16,13,3,18,9,29,101
5671,6,9,3,15,10,10,17,18,10,9,9,11,5,3,3,4,24
5680,4,78,64,135,184,180,168,144,125,136,84,72,38,47,34,237,383
5690,10,161,93,212,242,195,210,207,208,266,187,169,77,73,36,552,759
5700,53,522,337,816,912,821,771,702,658,627,455,395,272,330,95,1242,2132
5701,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3
5710,9,119,71,90,136,138,140,120,141,185,123,99,46,105,22,665,475
5713,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,5,6
5715,0,4,0,0,0,0,5,3,8,0,6,0,0,0,0,10,13
5717,0,0,0,0,3,0,0,4,5,3,4,0,0,0,0,0,4
5719,0,0,0,0,3,4,0,6,7,3,3,0,0,0,0,4,5
5720,0,6,4,4,5,4,13,14,24,19,12,8,13,22,3,35,13
5722,0,21,12,27,34,36,19,18,7,14,16,7,13,11,4,33,41
5723,11,101,31,144,162,149,86,118,116,110,93,75,71,88,31,386,288
5724,7,15,9,76,36,27,17,16,19,13,14,19,0,9,6,80,85
5725,15,222,74,85,69,77,130,104,132,157,183,211,278,614,219,311,1023
5730,0,6,0,6,10,8,0,12,5,7,0,0,0,0,0,8,13
5731,0,19,3,12,13,10,23,20,23,39,23,31,34,46,33,92,89
5732,0,6,4,33,16,17,12,4,8,11,14,5,11,11,4,39,19
5733,0,4,8,18,16,11,21,3,13,15,9,12,0,9,9,45,32
5734,0,10,5,25,8,9,11,0,0,4,0,4,0,4,0,42,36
5950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5960,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
7000,42,774,469,835,797,910,955,849,959,1100,769,723,589,786,393,1025,1862
7001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7004,20,486,281,444,435,548,511,430,469,528,419,374,281,405,297,517,1028
7005,53,1449,647,875,737,807,863,754,756,833,633,549,417,741,689,838,1659
7007,17,212,137,153,168,188,204,170,172,212,165,164,126,183,113,146,536
7008,36,614,407,667,835,895,884,766,796,929,646,620,436,541,190,748,1955
7009,48,694,465,924,1042,1114,980,910,941,890,547,390,226,187,44,820,2223
7010,44,818,540,1247,1638,1747,1327,1238,1300,1119,615,420,225,196,70,1366,2943
7011,52,702,455,944,1337,1390,1147,1180,1233,1059,617,391,174,192,70,965,2802
7012,0,51,24,45,66,51,54,61,54,76,44,50,17,10,4,57,163
7015,29,458,361,555,736,868,810,683,814,862,629,515,378,353,133,605,1544
7016,5,99,58,179,235,232,183,188,159,137,61,29,17,14,8,700,562
7017,22,319,195,250,403,385,411,393,491,487,331,255,160,155,40,258,1057
7018,54,984,724,1267,1597,1759,1627,1448,1600,1644,1066,944,578,750,293,1186,3505
7019,18,259,180,410,591,508,459,459,488,379,176,114,80,52,35,417,1477
7020,5,127,99,115,130,128,149,160,197,192,139,133,113,96,52,112,517
7021,4,117,82,119,152,155,161,160,199,215,117,121,98,83,38,90,496
7022,0,49,41,58,64,66,81,47,59,84,48,33,29,22,7,58,134
7023,4,27,8,19,38,39,16,15,25,23,15,17,6,11,10,29,35
7024,0,26,18,19,24,28,26,33,42,38,41,34,22,23,8,26,105
7025,5,81,82,98,119,128,135,116,128,131,83,59,51,70,31,99,281
7026,3,50,38,66,67,66,67,87,74,66,34,24,13,14,7,72,179
7027,0,14,15,40,23,33,19,33,22,24,8,8,4,0,0,23,37
7030,51,860,526,1225,1652,1345,1252,1300,1292,1088,524,425,203,196,106,1322,4048
7050,23,718,447,709,917,1031,913,816,854,916,639,542,343,369,138,606,2416
7052,12,402,298,393,445,528,488,471,513,599,391,334,222,269,122,302,1355
7053,4,213,154,189,174,263,226,201,223,219,188,186,141,206,127,170,686
7054,13,428,348,431,537,502,586,605,604,624,519,411,253,315,117,386,2051
7055,0,20,16,26,14,31,37,39,39,23,27,12,11,8,3,15,105
7109,34,461,342,688,832,765,562,609,594,614,372,263,131,174,88,613,1671
7112,14,186,117,245,334,315,248,228,180,177,87,54,34,50,25,235,552
7113,5,65,57,70,110,122,88,68,68,55,44,25,10,21,16,98,173
7116,11,130,87,188,278,216,162,151,136,132,62,50,17,17,18,193,402
7117,10,60,22,89,105,99,66,61,46,43,43,14,12,21,5,53,103
7119,0,5,0,4,0,3,3,4,3,0,4,0,0,0,0,0,11
7120,10,99,64,149,231,229,129,117,111,108,44,35,22,19,20,147,309
7139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7140,29,620,340,877,1194,1060,853,734,756,664,335,296,164,122,65,811,2042
7150,7,174,121,185,276,233,212,192,200,192,126,105,55,80,39,186,455
7155,0,46,23,61,59,53,78,61,47,62,35,29,31,24,12,56,123
7162,5,42,29,37,55,53,40,50,40,32,24,14,18,18,11,29,89
7163,0,15,13,21,34,20,35,27,33,26,17,0,0,9,6,15,48
7170,18,282,181,241,288,258,316,303,370,419,301,279,212,260,113,181,1002
7171,13,149,95,186,308,264,250,246,287,273,149,142,70,61,20,155,621
7172,12,165,120,241,369,374,268,282,272,254,151,100,57,42,19,259,651
7173,17,342,180,479,557,562,517,463,515,490,305,209,101,118,43,465,1245
7174,0,4,7,10,21,12,8,13,12,10,4,4,0,4,8,21,35
7175,0,12,4,15,25,14,12,20,13,11,5,4,5,4,4,12,36
7176,0,14,10,20,11,11,13,12,6,8,7,8,0,0,3,14,32
7177,5,28,12,22,44,42,34,24,39,28,11,6,3,8,5,30,65
7178,0,6,4,39,50,33,22,14,10,12,10,9,4,3,0,39,50
7179,0,16,8,27,33,50,42,24,22,22,14,12,3,10,7,51,41
7180,5,5,0,18,23,16,11,11,9,7,5,0,0,0,0,20,19
7182,0,9,9,24,57,21,23,21,9,11,14,4,0,0,3,29,25
7183,0,0,0,6,8,4,3,3,0,3,5,0,0,0,0,0,4
7184,4,31,17,67,106,88,60,57,33,40,22,11,7,9,3,124,128
7185,0,3,4,8,15,8,14,5,13,3,0,5,4,0,4,7,10
7186,0,10,8,20,27,14,15,17,15,9,5,0,0,5,0,10,23
7187,0,0,6,15,13,23,10,10,4,3,8,5,0,0,0,23,13
7190,11,127,77,236,443,414,292,240,210,151,88,65,32,40,51,254,379
7209,3,20,13,23,59,46,27,22,29,20,15,12,3,3,10,36,59
7210,11,56,37,87,153,110,85,77,64,40,32,15,9,4,8,84,155
7211,0,15,8,18,29,21,13,18,11,18,8,0,7,0,3,15,44
7212,7,104,76,132,159,150,158,126,163,109,71,68,40,32,19,200,320
7213,0,11,17,37,36,29,24,10,9,7,4,5,3,0,0,49,50
7214,0,35,20,76,80,80,45,30,23,15,16,9,7,9,5,69,98
7215,11,167,107,317,412,384,248,266,230,156,91,54,47,70,37,322,473
7216,14,173,119,329,487,462,287,244,175,141,60,58,29,38,28,270,450
7248,70,1118,611,1705,1624,1535,1255,1076,957,774,415,306,137,125,93,1271,2691
7249,33,552,385,895,1054,1155,1090,1003,1000,888,510,387,282,255,117,969,2196
7250,126,2525,1725,3076,3812,3951,3541,3439,3394,3337,2114,1785,1205,1303,778,3253,8690
7252,17,178,95,177,265,203,192,181,188,184,125,115,75,72,25,237,459
7253,19,295,144,446,638,548,331,275,252,190,122,125,74,63,40,421,933
7254,10,24,19,44,46,39,36,32,30,39,17,12,11,8,5,39,87
7255,3,33,35,62,73,77,62,54,60,75,37,33,14,20,11,55,127
7256,8,50,30,88,102,137,120,141,122,115,79,66,40,56,21,157,247
7257,0,0,0,14,10,9,7,6,0,5,0,0,0,0,0,3,7
7258,0,54,24,50,67,53,66,59,75,70,34,38,24,49,49,61,184
7259,0,36,25,41,42,30,37,33,33,31,13,16,8,7,0,45,71
7260,10,164,129,262,375,317,291,246,195,176,98,65,39,39,20,223,566
7261,0,21,12,26,38,24,14,9,22,12,12,5,0,0,5,26,55
7262,3,69,45,117,210,173,145,110,117,128,54,60,31,30,12,139,276
7263,5,37,24,44,80,65,44,44,30,34,18,10,3,3,0,42,124
7264,0,36,14,85,97,86,41,44,23,18,14,7,6,7,4,68,94
7265,0,11,18,17,19,25,22,17,21,8,4,8,0,3,0,27,32
7267,0,46,24,33,67,57,58,55,53,75,37,33,20,9,9,46,146
7268,3,79,34,79,72,80,74,86,80,62,45,27,22,21,11,70,192
7270,16,240,117,398,566,434,325,271,260,174,109,84,47,59,35,351,581
7275,14,196,104,233,352,290,219,198,203,213,104,81,71,68,24,253,522
7276,0,39,21,32,43,46,40,43,35,43,26,16,8,10,3,67,89
7277,11,338,240,356,509,493,419,378,451,339,239,211,158,169,65,278,1067
7290,9,114,75,140,185,165,178,171,198,192,104,78,43,33,12,114,466
7291,0,32,16,38,47,55,41,48,36,36,35,17,12,5,4,43,94
7292,3,32,20,33,45,44,59,44,40,47,32,23,17,10,4,39,111
7300,7,144,96,202,328,259,284,275,302,265,159,106,68,61,26,223,620
7301,12,233,142,289,434,410,311,355,305,308,153,101,51,71,51,365,701
