Postcode,Count taxable income or loss,Average taxable income or loss,Median taxable income or loss,Count salary and wages,Average salary and wages,Median salary and wages,Count net rent,Average net rent,Median net rent,Count total income or loss,Average total income or loss,Median total income or loss,Count total deductions,Average total deductions,Median total deductions,Count total business income,Average total business income,Median total business income,Count  total business expenses,Average total business expenses,Median total business expenses,Count net tax,Average net tax,Median net tax,Count super total accounts balance,Average super total accounts balance,Median super total accounts balance
2044,5079,63983,53944,4459,65862,58007,815,-2015,-1343,5079,66508,56524,5079,2502,1033,566,121837,24504,533,105489,10636,4184,18257,13339,6468,82204,39508
2045,3974,97055,53582,2967,80503,56074,1072,6573,3390,3974,100876,56788,3974,3751,879,426,163857,41868,415,108337,17126,3139,38469,15392,4453,203026,74486
2046,16470,79132,56302,12856,78115,62672,3919,1729,118,16470,82689,59323,16470,3446,977,1633,114932,31700,1576,84959,14124,13038,27515,16001,18654,163498,66754
2047,7763,93342,62821,5950,85333,66567,1792,1211,0,7763,97710,66383,7763,4182,1095,793,178642,33797,756,137381,14491,6262,34627,18191,8996,226978,68789
2048,5157,75200,56420,4433,73426,60547,866,932,-102,5157,78094,59521,5157,2860,895,603,71352,24318,567,43471,10726,4242,24130,14819,6476,112276,43399
2049,7044,71178,53748,6059,71415,58471,1038,261,-152,7044,74036,56128,7044,2793,924,786,56561,21216,738,28661,8700,5779,22237,14006,9039,105343,41066
2050,5617,76065,60969,4942,77483,66726,875,-3042,-2395,5617,79204,64205,5617,3070,960,576,85392,23146,546,59016,9647,4612,24454,16744,6936,100555,37457
2052,133,26790,13226,110,27785,14298,12,-1659,-758,133,28063,13909,133,1103,0,7,31763,11363,5,33259,2324,49,13201,2810,186,62270,1434
2060,10632,105337,66384,8310,91473,70248,2025,1543,195,10632,109736,69493,10632,4266,880,925,140858,26166,863,87136,12325,8650,41088,18997,12766,253999,45188
2061,4551,120033,70268,3371,100921,71653,981,2394,437,4551,125968,74565,4551,5594,964,401,173582,29862,375,102746,13795,3743,48327,21065,5448,339319,45539
2062,4697,104824,69940,3662,99022,76426,872,1022,-620,4697,109242,73722,4697,4288,1114,508,104523,29500,483,57222,12300,3856,39793,20706,5505,219137,74931
2063,4298,159736,66106,2691,127478,65438,1048,6196,2974,4298,167014,71996,4298,6997,870,448,192785,48793,437,108646,17693,3335,76259,23456,4476,424655,108838
2064,6232,81929,55770,5009,80284,62700,1160,-921,-1448,6232,85175,58364,6232,3199,761,538,87227,28053,500,47504,10698,4885,29762,16210,7205,148738,41523
2065,21082,101075,67254,16923,90958,72177,3866,-394,-474,21082,104931,70488,21082,3782,951,1798,128618,32525,1710,81703,12188,17502,37646,18915,24574,197365,53334
2066,20273,97067,61139,15757,88667,65120,3919,700,-613,20273,101616,64161,20273,4369,899,1902,157088,32322,1813,93976,13626,16266,37376,17829,22555,225900,62024
2067,16593,68883,43839,12165,70867,52209,3650,543,-156,16593,71600,46098,16593,2563,410,1365,119240,32097,1289,86398,12832,11764,26157,13333,18517,131182,26902
2068,10699,115139,60101,7664,103341,66238,2260,2178,548,10699,119687,63744,10699,4305,867,1045,151225,37772,1010,94129,14336,8430,48603,19147,11734,248551,84550
2069,9231,114867,55719,6291,102506,58972,2158,2795,664,9231,120017,59710,9231,4984,768,858,166450,38625,798,102366,16832,7059,50472,18230,9898,310831,82777
2070,8899,109617,55776,6043,96524,59585,1965,1300,56,8899,114302,59321,8899,4541,688,774,200788,39672,750,133300,14364,6705,47785,18823,9142,292602,80166
2071,8873,110528,53192,5724,98271,57321,2181,2321,933,8873,115791,55960,8873,5058,605,771,333812,42303,740,260841,17064,6551,50451,17980,9005,303467,64015
2072,5130,88978,49601,3541,85184,55462,1147,541,402,5130,93646,52067,5130,4515,526,442,167367,37920,420,104033,15704,3739,37569,16320,5355,246269,54408
2073,10559,103138,56426,7525,93722,61722,2373,-44,-236,10559,107606,59835,10559,4261,767,943,215083,44126,909,145594,15820,7951,44017,19147,11332,281835,83737
2074,14428,99066,53368,9673,92951,61649,2765,175,-248,14428,102992,56364,14428,3779,708,1226,174539,33794,1191,123818,13387,10643,42511,18508,15038,276406,89050
2075,13471,91382,51312,9117,90020,59925,2598,302,-520,13471,95239,53732,13471,3727,640,1151,155053,34596,1089,116954,14211,9901,37956,17669,14045,258673,74165
2076,15335,90620,53167,10923,86270,60942,3188,-1260,-1116,15335,94576,55752,15335,3804,730,1326,321065,31341,1274,265453,13274,11561,36298,17099,16496,235559,74206
2077,22931,58723,47150,18407,63830,54556,3741,-2194,-1588,22931,60820,49005,22931,2063,620,2037,98730,24016,1919,80462,9325,17251,18032,12378,25463,103232,38953
2079,4583,63424,49362,3733,66597,55368,771,-2730,-1776,4583,65843,51305,4583,2375,687,404,68355,35002,388,44102,12661,3543,19610,13056,5176,135024,62775
2080,1083,59631,44811,854,63295,51504,175,-4175,-1019,1083,62083,47658,1083,2432,685,110,68374,30000,107,39272,14504,805,18942,12011,1222,138528,64306
2081,3394,64422,49558,2765,67212,54521,562,-2136,-1576,3394,67082,51695,3394,2332,700,305,64001,28285,297,34417,10836,2636,20014,13255,3826,143664,72762
2082,3313,62429,50029,2687,66114,55412,535,-1514,-1079,3313,64780,51880,3313,2306,704,297,70673,39369,296,40032,14433,2583,18839,12889,3765,143095,77412
2083,1005,61132,44603,739,63799,51966,197,1318,728,1005,63948,47071,1005,2683,646,139,63421,28665,139,41750,13260,757,19203,11225,1227,155035,64768
2084,2426,91526,51300,1708,75994,53184,493,2724,1227,2426,98781,54292,2426,7124,688,245,110917,30782,240,74009,14312,1833,37416,15460,2610,289562,75004
2085,7207,71297,46261,5097,76116,54512,1223,2073,436,7207,74473,48635,7207,3068,634,595,87249,32760,575,57990,13309,5237,26123,14067,7868,191200,80435
2086,8313,74125,49611,6417,76325,56650,1550,477,-358,8313,77378,52338,8313,3141,731,787,82347,37232,758,56477,15528,6314,26362,14563,9450,161918,72428
2087,7770,79655,49196,5519,82933,57600,1629,1929,274,7770,82747,51903,7770,3001,637,724,109412,32448,704,73137,13552,5710,30585,15692,8575,188232,73400
2088,19753,161360,68562,13271,129467,68499,3881,3338,1238,19753,169140,73238,19753,7453,1056,1933,164475,35393,1862,103150,14850,15738,74858,21792,22028,422218,79319
2089,8908,102762,66402,7002,94245,70619,1634,352,-162,8908,107692,70108,8908,4811,1004,858,143866,25814,815,108531,10672,7364,38870,18681,10660,216976,53010
2090,9342,115355,66907,7144,103149,71272,1772,1929,-86,9342,120161,70470,9342,4631,1026,934,105592,31224,899,54303,11978,7606,46625,19556,10987,261852,66625
2092,4572,121568,58636,3295,103389,62068,955,3020,453,4572,126628,61998,4572,4728,752,397,112996,44165,383,67333,16286,3548,53346,19400,5066,271516,83871
2093,14769,99122,55992,11251,91755,58235,2513,2418,882,14769,102930,58729,14769,3673,865,1532,109963,28197,1435,80373,12562,11621,39553,16591,16763,199274,64612
2094,4260,97136,61552,3213,93030,66066,774,4774,586,4260,101105,65022,4260,3872,990,426,81134,33338,411,46993,12336,3372,37510,18677,4917,220477,61690
2095,12312,101518,59318,9559,92041,61792,1961,4299,1136,12312,105830,62851,12312,4104,787,1284,204137,29665,1235,173043,12112,9673,40992,18113,15668,194000,30317
2096,10021,90633,57984,8001,84696,61250,1835,94,-112,10021,94589,61235,10021,3828,954,1198,127380,33164,1149,93441,13486,8172,32864,15765,11932,155076,49641
2097,10270,76397,49790,7889,71600,52518,1998,1715,182,10270,79858,52110,10270,3382,716,1091,89770,35976,1042,59221,14882,7933,27308,13489,11546,174079,55784
2099,25910,64989,47738,20770,64671,51610,3887,1291,-139,25910,67750,49893,25910,2702,750,2776,78929,35152,2662,52903,14316,20281,20615,11418,29755,109284,42339
2100,13699,68886,48733,10718,70124,52847,2409,2981,605,13699,71684,50906,13699,2716,700,1555,89139,34727,1503,63123,14735,10601,22872,12723,15585,127696,51333
2101,12553,69642,48808,9322,66707,52947,2290,1914,270,12553,72812,51423,12553,3106,739,1518,98613,37268,1473,70121,15866,9657,23382,12683,13861,158623,56148
2102,4663,73662,51431,3586,70916,55008,779,657,-239,4663,77022,53865,4663,3310,814,528,80877,37651,512,52138,15776,3615,25610,13753,5024,139159,60130
2103,7321,70372,47628,5244,69409,51738,1372,2435,734,7321,73674,49876,7321,3078,635,788,107113,35288,777,75651,15035,5501,24547,12955,8048,208652,65217
2104,2407,97021,46693,1420,83862,49306,454,3891,3032,2407,101619,49512,2407,4390,604,229,142482,34000,227,109304,13879,1739,41572,14737,2474,412302,99529
2105,1381,96571,49218,866,77316,52344,289,5276,2622,1381,101411,53527,1381,4505,599,179,110302,35486,171,76700,15707,1006,42295,16394,1580,317330,85965
2106,6619,83861,49279,4813,69171,49799,1194,2378,956,6619,89474,52000,6619,5495,660,844,104991,38673,811,74343,15421,5082,31645,13741,7471,231708,62564
2107,10122,84776,46712,6827,72345,48824,1850,3472,851,10122,88948,49338,10122,3910,634,1405,98087,37000,1350,68161,15444,7507,34289,13419,11329,269764,65004
2108,1297,138382,48812,709,81114,45780,288,6328,3070,1297,147226,54360,1297,8667,680,146,191902,31972,143,122905,20432,921,70806,18553,1397,777554,95981
2110,6050,147757,66491,4082,106663,62491,1510,3888,1627,6050,155364,70752,6050,7409,856,581,243174,47656,570,141697,20338,4768,68475,21528,6568,419488,95102
2111,9073,85889,55925,6968,79539,60378,1881,1439,94,9073,89459,58641,9073,3460,877,889,232012,37156,859,179638,13591,7205,31388,15928,10281,187866,65401
2112,19461,64493,47356,15337,65452,53373,4153,-666,-1174,19461,67185,49706,19461,2601,702,1759,130136,31682,1696,103719,13382,14796,21173,12520,21275,120673,42677
2113,12505,63503,49707,10069,67562,56700,2387,-1590,-1371,12505,66153,51997,12505,2466,660,1016,88588,25875,963,66645,11095,9449,20451,13628,14092,112798,41488
2114,15169,59141,47221,12294,63090,54026,3022,-1842,-1657,15169,61370,49211,15169,2179,614,1277,124397,26893,1191,108361,11549,11548,18041,12238,16851,106907,34754
