Postcode,Count taxable income or loss,Average taxable income or loss,Median taxable income or loss,Count salary and wages,Average salary and wages,Median salary and wages,Count net rent,Average net rent,Median net rent,Count total income or loss,Average total income or loss,Median total income or loss,Count total deductions,Average total deductions,Median total deductions,Count total business income,Average total business income,Median total business income,Count  total business expenses,Average total business expenses,Median total business expenses,Count net tax,Average net tax,Median net tax,Count super total accounts balance,Average super total accounts balance,Median super total accounts balance
2440,9727,40627,35449,7400,43983,39642,1313,1187,29,9727,42739,37109,9727,1934,582,1104,70415,33003,1090,59657,23798,6723,10113,6385,11547,88767,32495
2441,2450,42250,34026,1687,45814,39185,389,2166,600,2450,45048,35903,2450,2312,504,367,84398,30203,371,67082,22178,1631,11894,7007,2793,98167,34059
2443,4135,38723,32622,2535,44183,39064,561,3023,1212,4135,40580,34001,4135,1773,404,384,84730,30232,369,68950,15217,2580,10261,6386,4682,124128,51632
2444,24975,48593,38116,17912,50288,43204,3821,448,-372,24975,51063,40102,24975,2341,651,2298,110455,35632,2241,78881,17383,17474,14075,8247,27311,130550,48771
2445,3584,45104,36706,2477,50413,43166,577,41,-119,3584,47289,38246,3584,2131,578,372,78803,31188,363,56349,15244,2396,13012,8547,3945,129556,60484
2446,6869,43528,36366,4997,46383,40661,935,1386,126,6869,46031,38177,6869,2155,553,746,101544,35638,738,77416,23316,4704,11918,7322,7504,106553,43005
2447,3582,39988,33841,2468,44464,40288,512,1935,658,3582,42268,35454,3582,1981,450,427,62209,28940,424,47388,20274,2328,10609,7088,3943,109789,37349
2448,3924,40821,33524,2708,44401,38622,551,658,628,3924,42869,34881,3924,1965,460,405,91638,30797,393,71570,15864,2581,10719,6306,4653,99229,35145
2449,960,35337,29901,674,40909,35412,111,1903,1312,960,37089,31364,960,1652,340,129,64858,26418,129,58375,22879,574,9179,5286,1145,75911,24728
2450,24020,47398,37710,18048,47773,41363,3768,593,-91,24020,49880,39705,24020,2343,604,2322,92279,29563,2307,65481,16739,17055,13286,7719,26875,112116,37441
2452,7737,44476,38163,6025,47001,42240,1048,-63,-294,7737,46718,40075,7737,2122,688,719,67496,28927,712,49641,13480,5528,11386,7566,8723,98605,40127
2453,1517,36827,29322,856,43934,36836,225,2056,1273,1517,40073,31411,1517,2230,295,246,85931,33992,243,73597,27241,918,9995,5571,1551,129931,38220
2454,4041,43162,33640,2734,45173,38176,674,1819,704,4041,45583,35390,4041,2094,476,661,60861,26045,656,42896,14243,2686,12180,6859,4635,113634,38129
2455,1545,43941,36565,1102,47386,42586,270,2257,662,1545,46427,38924,1545,2395,630,146,85954,24384,146,67770,13224,1065,11615,7999,1729,108845,47322
2456,8569,41550,34487,6475,43761,37872,1174,206,115,8569,43792,36092,8569,2111,510,752,79311,30540,740,61662,17080,5835,10844,6793,9518,89748,29058
2460,13800,42866,36468,10468,46474,41452,2133,893,59,13800,45171,38232,13800,2032,584,1368,83851,29833,1385,69134,20858,9558,11121,7157,16009,98431,39361
2462,1039,38916,31354,726,42708,36900,163,886,29,1039,41087,33312,1039,1801,374,175,71088,28392,172,60807,26254,672,10280,5510,1293,91606,37416
2463,3659,40907,33601,2568,45706,38906,509,-296,-109,3659,43052,35511,3659,1911,512,415,72197,30000,420,56320,19220,2410,11004,6534,4224,108138,42044
2464,3528,42282,31886,2196,46460,37980,636,862,217,3528,44725,33842,3528,2114,430,432,73726,31393,418,52449,15782,2226,12453,6369,3941,140962,45607
2465,187,42701,31810,120,46709,44958,38,2037,1380,187,45305,33876,187,2334,930,22,45694,31124,21,30377,24701,118,12772,8978,213,85578,28720
2466,682,35562,26680,359,40435,37024,95,3121,1082,682,37573,27940,682,1932,300,83,58133,27922,79,43006,17947,377,10378,6234,799,122146,41155
2469,1727,34947,29220,1094,39710,34188,223,1381,333,1727,37584,30996,1727,1757,300,237,64526,32538,235,54212,20475,1011,9095,5336,2091,81215,27745
2470,7163,40574,37122,5512,44258,41980,918,348,-273,7163,42582,39032,7163,1732,582,629,109540,33586,628,96999,27066,5047,9687,6864,8209,81843,34702
2471,1173,38021,35152,872,44073,41780,177,639,975,1173,40588,37426,1173,1892,550,147,54326,27857,148,45013,20070,781,9595,6838,1405,66937,31260
2472,1053,40049,35672,774,44010,39707,158,1314,-259,1053,42154,37094,1053,1891,513,131,84628,29200,130,72099,19468,729,9809,6521,1217,85582,36414
2473,1455,44524,37081,1041,47026,41234,252,873,77,1455,46970,38853,1455,2335,568,114,147602,34162,113,122834,18428,979,12000,7887,1621,111103,45689
2474,3097,38006,31308,2112,43546,38802,437,1100,612,3097,40441,33136,3097,1767,394,445,63975,24460,447,56484,20331,1944,10241,6259,3615,84134,32192
2475,174,30889,23972,96,40119,35918,13,-1582,-3930,174,33594,25629,174,1647,134,20,79001,44540,20,66211,29304,95,7873,5289,184,87920,24409
2476,350,38696,30822,217,42975,37372,40,4302,1855,350,41667,32306,350,1835,320,35,78144,21092,36,64547,14626,211,10379,7041,390,78626,31748
2477,6874,46465,36646,4826,46825,41132,1110,1445,0,6874,49155,38914,6874,2465,608,761,95821,32591,772,67514,17416,4722,13333,7691,7509,130264,48778
2478,16612,48262,37099,11675,47975,40682,3023,1558,188,16612,51035,39296,16612,2651,667,1970,91782,32958,1942,65177,15882,11668,13880,7792,18130,135578,44605
2479,3201,52503,34709,1988,48782,37346,630,4190,2264,3201,56234,36966,3201,2898,468,730,79205,31696,706,58610,15749,2151,17841,8226,3477,150065,35721
2480,23925,44126,37011,17874,45679,41380,3780,1997,490,23925,46406,38783,23925,2082,600,2982,81454,27704,2954,60112,16600,16898,11658,7286,27570,102985,38352
2481,8676,50784,32363,5752,41813,31407,1697,6049,3034,8676,54079,34304,8676,3011,370,1836,71535,26000,1745,53277,13244,5714,17637,6767,10481,117713,17794
2482,3817,39472,29813,2230,38868,32631,730,5060,2985,3817,41867,31455,3817,2069,300,974,70606,26893,943,54074,13504,2390,11166,5897,4252,93277,23963
2483,6180,41721,32818,4030,42813,36299,1088,3124,1762,6180,44082,34440,6180,2213,440,1299,61773,26465,1262,45258,12916,4141,11083,6059,7065,97200,28927
2484,9859,42457,34295,6776,45315,40602,1601,1429,52,9859,45117,36409,9859,2447,650,1457,87695,27516,1414,73273,14920,6642,11469,6805,11174,98562,36457
2485,7190,45002,36219,5034,46243,40600,1037,1581,-104,7190,47423,37962,7190,2309,588,690,64273,29459,645,41530,11836,4973,12077,7210,8335,110251,33582
2486,16425,45559,37670,11910,48729,43060,2229,-48,-655,16425,47961,39903,16425,2315,710,1594,72602,30610,1558,50856,13088,11670,12006,7485,18549,99016,40806
2487,7441,58990,40394,5342,54605,43068,1358,-844,-1041,7441,62293,42675,7441,3233,789,843,121631,32783,814,91825,14778,5443,19470,9113,8352,135214,47458
2488,1973,45962,37035,1517,48837,40538,320,-1384,-1176,1973,48759,39115,1973,2708,700,278,174721,29426,271,158151,14483,1430,12038,7570,2273,88631,35442
2489,3827,46797,37171,2786,50566,42826,600,-1582,-1134,3827,49535,39277,3827,2628,753,461,60995,32186,455,41219,13744,2683,12725,8215,4320,100549,46769
2490,415,51400,39186,317,49726,40115,77,-250,-2036,415,54159,40612,415,2461,790,43,66221,34420,46,40848,13732,299,14941,7824,467,108409,37611
2500,21121,55470,42059,16840,56768,47603,3164,1455,30,21121,58240,44493,21121,2729,920,1568,118157,28222,1484,90159,14550,15469,16966,10812,24562,135745,36734
2502,4960,44573,37320,3998,48758,42786,614,358,50,4960,47131,39666,4960,2548,1182,435,61380,33150,432,43752,15704,3543,11344,7713,6277,83395,30974
2505,2407,51798,42459,1974,55753,47636,378,380,-100,2407,54797,44989,2407,2948,1280,164,72382,26992,161,54016,13526,1850,13707,9332,3029,101064,41081
2506,3554,47962,40590,3031,51114,45301,369,-1529,-1117,3554,50646,42955,3554,2656,1398,262,90124,26662,255,74028,14612,2671,12279,8243,4267,86368,34990
2508,5509,62251,49851,4612,63830,54254,886,-1316,-1364,5509,65321,52168,5509,2877,1099,576,72832,30616,565,43524,14279,4345,18530,12640,6254,136930,63398
2515,6889,72588,50391,5301,71390,55244,1347,68,-99,6889,76161,53372,6889,3456,1054,818,218195,32379,799,186991,15778,5209,25371,14598,7876,184776,77247
2516,3584,67173,52122,2972,68410,57017,592,-1284,-2044,3584,70533,54987,3584,3329,1288,335,116171,34018,332,80592,14957,2816,21242,14229,4066,151391,71592
2517,7364,59639,47245,5964,63942,53978,990,-1868,-1358,7364,62583,49888,7364,2890,1200,612,83551,29912,607,54534,15070,5590,18126,12844,8378,142613,66247
2518,10137,53233,43110,8131,56950,49066,1325,1357,93,10137,56010,45819,10137,2737,1058,798,70010,29700,771,49705,13778,7615,14997,10359,11824,117775,49078
2519,9099,56822,42869,7055,58694,49218,1462,2853,285,9099,59693,45622,9099,2806,938,704,104758,35189,690,72952,18000,6594,17857,11621,10365,146197,55027
2525,6541,57931,45018,5128,62035,52208,1041,589,-18,6541,60838,47327,6541,2875,1152,513,83230,32828,503,59001,14081,4842,17692,12095,7341,160383,67293
2526,8839,57532,44299,7235,59363,49637,1330,185,-342,8839,60397,46930,8839,2820,1245,660,94473,33264,640,68865,15722,6765,17000,11060,10005,141564,57176
2527,11620,52452,44412,10065,55926,49048,1106,-1865,-1596,11620,55381,47334,11620,2897,1458,731,69085,30272,726,50559,14810,9110,13648,9876,13250,101440,46185
2528,10990,48715,40416,9049,52292,45684,1223,235,-363,10990,51455,42962,10990,2698,1220,678,77553,31320,660,59198,16738,8141,12900,8579,13589,99707,40410
2529,14485,55894,44493,11992,58747,49726,2129,-1313,-1285,14485,58913,47430,14485,2973,1413,1040,102555,33226,1025,80834,16259,11132,15824,10594,16244,119063,54033
2530,17015,51605,42824,14225,55638,48709,1765,-1208,-1321,17015,54383,45577,17015,2748,1324,1142,65740,28612,1127,48095,15239,12865,14048,9765,19698,112827,51613
2533,9578,58255,41834,6856,59554,49282,1681,946,76,9578,61342,44531,9578,3001,946,833,85377,33953,822,59199,16888,6821,19167,11426,10558,189830,70856
2534,3337,56344,41413,2398,58774,46744,623,1511,-73,3337,59567,44578,3337,3174,1021,398,88362,32221,389,63562,15837,2406,17703,11473,3688,175599,65430
2535,4200,52283,37821,2646,53907,43590,804,2633,856,4200,55414,40990,4200,2775,707,521,119858,35501,519,95612,18513,2849,16883,9437,4646,229905,68272
2536,9151,43001,34864,6004,42108,37204,1314,1567,455,9151,45094,36597,9151,2014,474,876,72397,34254,877,49981,16166,6162,11356,6209,10247,122232,40679
2537,6427,43297,35464,4190,44339,38633,946,3138,1016,6427,45367,37021,6427,1941,499,734,95582,35882,734,69376,16411,4302,11574,6758,6982,127427,48377
2538,1341,46352,34214,846,45120,35958,207,2733,1998,1341,49338,36163,1341,2752,488,182,99248,33904,184,74012,25702,899,13507,6978,1451,184761,48780
2539,9445,40984,32524,6199,42095,36050,1332,2068,502,9445,43271,34473,9445,2180,449,1101,87904,37655,1086,65540,17877,6141,10968,6007,10620,129156,45036
2540,21813,46332,37114,15738,48808,41800,3073,1651,144,21813,48768,39155,21813,2333,696,1968,85126,32322,1915,64326,16913,15115,12823,7989,24849,125296,46580
2541,12879,46998,39425,10218,48285,42740,1472,573,-476,12879,49400,41530,12879,2353,880,959,78946,28750,932,56380,15226,9454,11934,7888,15022,99459,37282
2545,588,40663,32931,386,41211,36720,85,1148,846,588,42807,34782,588,1865,400,70,112914,37162,69,101026,22661,387,10766,5581,699,132116,37598
2546,4754,39435,31506,2772,41094,35970,709,1403,385,4754,41524,32978,4754,1833,346,614,84302,27622,606,66511,15472,2947,10617,5971,5281,146704,45565
2548,4547,45132,35714,2868,44454,38766,720,1309,122,4547,47246,37223,4547,2006,398,399,100993,29368,392,74785,14146,3026,12625,7352,4842,156526,59474
2549,2157,46021,36911,1524,44667,37866,298,2045,450,2157,48101,38177,2157,2028,435,233,89878,43595,236,64649,17261,1548,12164,6921,2349,125185,50332
2550,9102,45052,37172,6518,45704,41379,1299,1888,578,9102,47194,39036,9102,1947,416,1038,89215,30004,1024,71945,16220,6303,12237,7904,9973,116065,44305
2551,1892,44523,35892,1415,44274,38389,240,1612,303,1892,46338,37716,1892,1728,422,162,68058,25310,159,54304,18807,1297,11809,7603,2164,114333,42570
2555,140,49051,42892,102,55048,47499,26,1059,5079,140,51500,45270,140,2449,558,10,45226,17713,10,32302,10254,102,13174,9998,208,63472,16397
2556,1426,57831,43221,1114,52597,47442,321,3191,1709,1426,61011,45637,1426,3156,708,117,116126,40000,110,95578,27755,1085,17705,10291,1627,94651,32334
2557,4737,58859,50526,3963,59991,54058,815,731,-406,4737,61999,53661,4737,3062,1268,360,78553,37554,357,51463,18902,3859,16114,11751,4925,84444,38803
2558,6370,51150,47301,5708,53798,50602,638,-3290,-2200,6370,53753,49722,6370,2571,1260,406,59371,31922,403,40989,14778,5189,12242,9831,7415,71964,37557
2559,897,41064,38522,805,42029,41079,24,-4997,-2516,897,43236,40490,897,2160,1091,38,65510,37525,36,50055,24489,646,9214,6780,1481,30214,7057
2560,39858,51093,45268,34684,53955,49679,4235,-2625,-1901,39858,53647,47694,39858,2519,1110,2411,71119,28654,2325,52393,16002,31418,12902,9654,48057,78250,34426
2563,172,56344,45788,139,49844,48520,23,-797,-2697,172,59395,48968,172,3051,1394,19,147449,30914,19,138838,16160,133,16298,9344,208,67532,31901
2564,6561,46073,42273,5665,49744,46679,623,-2725,-2357,6561,48205,44351,6561,2099,881,540,68877,33824,524,53459,17274,5057,10949,8434,8216,56566,23164
2565,11131,53592,45358,9484,54831,49775,1573,-1085,-1546,11131,56051,47615,11131,2439,891,817,101952,27204,782,83685,13447,8658,14670,9988,12763,89771,32739
2566,14438,49967,45312,12688,53065,49462,1570,-3174,-2684,14438,52436,47603,14438,2446,1100,1091,71933,35037,1063,55962,19286,11497,12247,9315,17059,71570,31635
2567,22299,59962,52207,19888,62150,56052,2850,-3781,-2946,22299,63061,54884,22299,3053,1400,1502,67608,33284,1476,45929,16354,18282,16326,12378,24831,92249,52641
2568,691,59053,42921,512,60058,50181,126,-484,-31,691,62106,46159,691,2894,810,60,67658,22660,53,57071,9378,521,18109,11595,747,144040,62575
2569,835,59277,48567,707,58182,51754,147,525,-780,835,62071,51110,835,2672,999,83,94331,45347,81,75077,24344,657,17207,11943,957,127076,57483
2570,23394,63713,50768,19645,62404,55221,3443,-1232,-1546,23394,66866,53856,23394,3080,1303,1826,89855,32462,1774,67003,18384,18669,19288,12548,25441,118243,53492
2571,7030,61519,49322,5893,63248,54645,1071,-1605,-1526,7030,64742,52469,7030,3145,1340,547,92413,33924,538,70670,20624,5643,17747,12295,7782,112012,55504
2572,2379,56137,46737,1940,59006,50934,296,187,-790,2379,59167,49054,2379,2935,1222,216,81653,36632,207,61748,23686,1828,15900,11258,2702,108108,49606
2573,2635,51691,44970,2235,54678,49308,269,-1208,-1632,2635,54381,47733,2635,2659,1167,199,69322,37800,199,49827,19438,2048,13588,9539,3046,78917,38047
2574,3210,53297,44682,2637,56376,50000,404,-822,-978,3210,56256,47513,3210,2922,1186,274,81981,43790,272,58440,21050,2472,14386,10530,3661,92200,46298
2575,8979,55872,41588,6773,54672,46233,1195,649,-407,8979,58539,43725,8979,2560,692,1012,83606,34890,998,62011,17044,6610,17884,9408,9994,121484,43425
2576,8347,66868,39397,4961,63706,45104,1357,2891,1030,8347,70620,41595,8347,3377,509,917,130291,36148,885,96902,18321,5649,26319,11244,8660,246035,72019
2577,8785,54962,40278,6241,54933,45750,1364,819,109,8785,57807,42652,8785,2546,592,1084,85042,31313,1068,66632,18290,6233,17766,9692,9778,175142,49639
2578,1512,45635,35630,903,51968,42623,213,7432,2105,1512,47973,36928,1512,2160,452,191,65810,31849,186,50200,17996,956,14297,8722,1661,195145,77386
2579,2246,51419,38060,1544,55838,44837,314,1416,0,2246,54369,40337,2246,2563,617,301,80318,26880,294,64191,20094,1559,16277,9191,2459,153336,52023
2580,15580,51127,42465,12448,52867,47084,2025,198,-245,15580,53559,44738,15580,2320,798,1378,81163,27685,1382,64711,19178,11672,14076,9554,17520,111361,46288
2581,1239,54569,46150,883,58693,50924,212,-1013,-868,1239,57487,49757,1239,2411,703,160,78074,34774,158,65318,33917,912,15946,11716,1282,118901,51749
2582,7492,62712,49922,5781,64554,56713,1220,-1610,-1581,7492,65422,52794,7492,2456,666,689,82003,30502,688,65653,20666,5807,19292,13187,7898,162871,64100
2583,2510,44091,36168,1677,45017,40000,307,1481,217,2510,47200,38212,2510,2562,499,322,95900,39028,323,79951,34407,1724,11713,7153,2551,113647,45115
2584,312,44567,37816,205,49712,42958,46,-3242,208,312,47483,40988,312,2809,512,44,69011,44254,45,42706,27647,211,12424,8229,320,114094,41688
2585,146,52706,41360,87,39261,37318,28,-1474,4340,146,57685,49956,146,3750,452,18,65948,41276,18,70490,34882,104,17161,12034,151,178794,27681
2586,1388,43517,36714,954,44610,41230,203,4386,941,1388,47493,38968,1388,2995,444,182,125729,30452,182,109743,27452,942,12105,7653,1475,107184,42461
2587,1466,47329,38878,1050,46055,41660,195,2190,116,1466,50429,40647,1466,2897,670,145,77715,30597,144,61918,23432,1049,12569,7733,1638,101223,37475
2588,224,66220,41495,141,42426,37100,43,5260,669,224,72690,44368,224,5230,716,22,48456,32681,20,40674,40042,155,25591,10588,257,198368,46385
2590,3768,45920,38862,2822,46494,42270,520,652,0,3768,48908,41070,3768,2679,716,329,94391,33320,314,78862,20900,2670,12467,8142,4254,121130,48795
2594,6016,45756,38184,4474,44149,40026,763,1840,131,6016,48968,40547,6016,2763,636,525,117574,39636,521,99206,25943,4332,11971,7458,6911,102268,36355
2600,5581,102063,72047,3808,93244,74200,1498,-4556,-2550,5581,107036,76259,5581,4900,985,423,134237,31250,410,71910,12088,4656,36444,19581,5643,375439,130649
2601,2658,68957,49644,2241,67758,54996,465,-6795,-4025,2658,71642,52326,2658,2631,325,131,161238,27728,126,118104,13116,1827,26804,17644,2960,158965,14989
2602,19457,70885,58742,15605,72159,65296,3594,-3628,-2147,19457,73357,61540,19457,2433,722,1371,53873,16437,1304,32076,7686,15652,21695,15805,20554,181069,50205
2603,6478,122886,73564,4735,89958,72148,1665,-5770,-2810,6478,127933,77151,6478,4870,874,484,236436,32014,469,135626,11186,5473,48091,20225,6642,350586,91890
2604,7387,86280,72034,6106,87635,78360,1935,-4996,-3345,7387,89357,75193,7387,2993,942,414,67775,18651,392,47123,8672,6262,27637,19383,7645,220649,64293
2605,7437,85548,64447,5382,85320,73109,1719,-4281,-2593,7437,88935,67427,7437,3341,865,476,108483,31542,465,56930,10274,6058,28560,17831,7563,256371,103362
2606,6312,70222,56617,5022,68774,61251,1046,-4392,-2240,6312,72911,59360,6312,2653,770,309,103246,25072,303,64505,10556,5223,20737,14255,6580,170352,35956
2607,9224,76151,56774,6702,73548,64660,1940,-3431,-2688,9224,78903,59349,9224,2715,755,556,86715,22371,536,52850,10780,7350,24931,15233,9304,225155,76213
2609,561,63438,47062,449,55567,49666,94,6305,14,561,66874,51274,561,2945,722,53,190262,29075,50,171199,25068,454,18759,11177,720,107469,33791
2611,17714,70543,61002,13597,74454,69260,3184,-4146,-3242,17714,73036,63633,17714,2452,751,1125,69397,21461,1093,46394,9710,14532,20633,15902,18006,188976,73653
2612,10180,74512,60425,8584,71177,63363,1797,-4680,-3035,10180,77233,63000,10180,2630,640,534,80109,14904,501,51519,8177,8353,23341,15612,10649,183438,28518
2614,12324,67911,55315,9146,70391,63269,2128,-3526,-3001,12324,70446,58112,12324,2499,697,808,57134,18004,765,35938,7815,9813,20150,14586,12924,204910,65992
2615,27270,60995,54745,22377,64252,61203,3859,-5596,-4005,27270,63062,57192,27270,2043,699,1675,60787,23122,1634,40021,9752,22211,16436,13513,29113,135110,50343
2617,20445,61766,52603,16558,63659,57736,3569,-4726,-3322,20445,64028,54981,20445,2191,623,1114,64623,20298,1069,47154,9465,16203,17581,13383,21299,148952,38616
2618,877,74805,52922,597,67396,56079,213,-3665,-1472,877,78379,56283,877,3480,657,87,156913,27801,84,137551,23765,651,27546,16121,924,260954,79716
2619,6055,79907,68943,5173,80170,72514,1462,-5473,-4526,6055,82623,71468,6055,2679,1003,352,79765,31338,343,53407,12333,5161,24357,18341,6225,209252,100240
2620,24035,63894,54218,20032,64095,58288,4128,-2817,-2291,24035,66347,56687,24035,2371,805,1639,69160,25272,1605,49719,13722,19799,17969,13091,26278,138326,48021
2621,3859,72253,61146,3054,74313,68381,805,-3079,-2522,3859,75032,64247,3859,2628,862,353,76565,27900,347,58038,18111,3187,21874,16093,4066,177135,76534
2622,2160,49288,38522,1411,54606,46824,333,3221,1337,2160,52291,40296,2160,2193,440,362,103513,28736,361,88274,19411,1463,15133,9586,2282,124422,50211
2623,343,49964,53572,281,58719,57253,38,-3233,-2716,343,52028,55366,343,2049,747,29,47466,32070,31,35859,20844,273,13393,11502,404,92698,38715
2625,192,47724,37920,150,35689,32344,39,3418,1503,192,51463,41304,192,3330,500,25,189472,69805,25,145973,30787,147,12951,6448,240,77579,21225
2626,296,53422,49298,216,60813,55108,44,-2,-296,296,55959,52694,296,2289,664,27,43075,19086,26,37796,23926,227,14390,11142,301,116308,61706
2627,2806,49052,38720,2269,46341,38787,572,2010,112,2806,51726,40756,2806,2519,590,409,71395,31705,393,52700,17598,2055,13447,8245,3209,105579,37967
2628,1036,45894,36719,765,45044,39772,172,500,-226,1036,48216,38877,1036,2202,532,151,77383,40166,150,60454,31112,735,12590,7775,1139,97040,47373
2629,287,39235,30453,176,43382,34709,50,-1511,-998,287,40769,31397,287,1392,286,33,59857,35635,31,48887,25499,169,11392,6002,305,104746,31906
2630,4910,48963,40833,3662,49140,43578,800,807,-202,4910,51668,42855,4910,2248,510,471,82786,35546,465,64340,21787,3589,13173,8494,5301,122153,45570
2631,338,54954,37024,222,44306,37248,50,-466,-2093,338,60538,40879,338,3618,399,58,173971,28137,57,165752,30661,223,20308,8522,358,114853,40453
2632,1079,49550,42143,807,48153,44499,131,2332,100,1079,52598,44783,1079,2987,709,106,60483,24657,112,43790,20946,799,13160,9846,1170,121937,50467
2633,207,45407,34636,141,44498,38369,22,244,678,207,49122,38759,207,3298,594,36,113054,52123,33,79994,39171,142,12521,6526,221,76659,36706
2640,21079,54200,43336,16580,52230,46254,3161,0,-682,21079,56672,45334,21079,2423,693,1739,106665,32884,1678,74092,15670,16008,15541,9806,23016,141948,50512
2641,8015,44505,39236,6444,45327,42540,827,1259,-132,8015,46381,41121,8015,1832,552,612,85738,32020,592,65752,14780,5940,10806,7702,9214,93507,39953
2642,2944,47682,41055,2104,46498,42441,409,2195,246,2944,51061,43798,2944,2716,528,313,101279,37000,301,79284,23387,2164,12538,8741,3055,112997,46705
2643,1501,42920,37000,1139,45882,42019,184,-1916,-558,1501,45384,39124,1501,2350,638,102,85266,20527,96,70146,11484,1022,11326,8740,1649,104378,51985
2644,1397,48746,36735,940,42729,38694,198,1146,212,1397,52007,39298,1397,2695,395,149,120389,36771,145,100541,26589,962,15131,7748,1438,133213,44347
2645,228,51074,40952,144,39873,37966,27,2177,149,228,53424,42904,228,2039,482,20,145432,102206,21,105714,30948,165,13784,8452,229,72609,31945
2646,3889,46511,38004,2826,46764,42169,527,1878,229,3889,49471,40543,3889,2688,716,257,98937,38650,248,85611,22416,2734,12756,8646,4292,119945,49685
2647,1207,43352,36834,839,43637,39922,153,2866,795,1207,46296,38507,1207,2052,561,95,164972,34441,92,153453,23136,839,11189,7310,1344,151080,54142
2648,1213,41446,32510,833,41414,36155,130,-1118,-1313,1213,44722,35231,1213,2520,396,125,137087,35000,120,124621,28394,773,11734,7189,1396,89572,35284
2650,32602,54599,44816,26429,52969,47454,4770,277,-552,32602,57325,46996,32602,2568,881,2405,114926,39637,2347,80815,20925,25303,15135,9895,35971,122865,45304
2651,1108,50030,47083,1032,52011,50630,123,-3282,-2113,1108,52257,49943,1108,2193,1175,35,52011,37082,35,36943,22874,904,11508,9306,1247,74620,35504
2652,2823,47733,40361,1942,45690,41710,368,2003,404,2823,51315,42873,2823,3007,500,272,106635,52623,265,94377,40513,2043,12890,8963,2962,90273,39265
2653,1354,47368,40300,1022,50582,45966,174,2326,166,1354,49988,42615,1354,2033,600,130,115307,48626,125,114179,37620,965,12946,9782,1500,110524,42935
2655,786,46460,41804,574,48236,44651,138,-1322,-260,786,49361,43834,786,2510,696,74,111514,36556,75,89196,30182,575,12059,9332,869,95231,45504
2656,710,52011,41790,461,41346,37216,123,1693,-17,710,57049,45112,710,4297,588,71,99175,51829,73,66747,23251,535,13559,8547,705,119882,46516
2658,710,43524,34734,467,39254,34684,87,2407,942,710,46736,37544,710,2682,452,56,68345,35964,55,47080,22751,480,11477,6393,755,112925,41910
2659,524,42618,37310,360,44233,40234,58,744,351,524,45696,39352,524,2502,449,45,83054,41400,45,70991,29022,347,11898,8757,530,101883,47669
2660,850,44872,37544,627,44553,40180,128,1940,0,850,47887,39990,850,2614,498,83,92396,40536,81,75024,21913,612,11501,7538,931,103575,42218
2661,133,66018,71807,124,73269,78964,40,-4006,-3263,133,69985,74887,133,3967,2951,6,62642,9384,6,60125,10380,118,16133,16128,156,177178,107088
2663,2223,46926,41184,1752,49104,44576,259,17,-612,2223,49509,43180,2223,2444,740,151,75466,36500,149,59683,19670,1659,11831,8543,2570,99808,39802
2665,1203,45613,36235,667,40863,35565,135,1417,718,1203,50103,39760,1203,3360,345,123,157629,45425,112,145328,41496,836,11813,7788,1240,98718,37530
2666,3035,46101,38122,2130,44418,40191,391,1215,195,3035,49450,40342,3035,2880,655,290,97515,36442,288,77024,25142,2146,12398,7643,3285,129848,47072
2668,221,44654,32372,140,30547,25270,24,3758,3370,221,49942,34008,221,3577,359,20,161322,34656,17,163763,28684,141,12768,6860,250,112797,32348
2669,952,45642,37154,510,37390,35257,83,6643,2082,952,50507,41220,952,3229,290,102,168511,51298,102,140598,32270,675,12611,8144,919,85221,29854
2671,2196,48675,37827,1580,49950,42661,322,1771,154,2196,51956,40426,2196,2318,534,232,136867,50731,227,115812,36130,1542,14049,8942,2350,125571,45361
2672,807,47800,37683,535,41840,36995,91,339,79,807,51573,40597,807,3085,426,74,146257,49544,73,119691,32491,588,13067,8417,895,87904,24200
2675,993,45793,38699,773,41327,37920,123,486,53,993,48674,42120,993,2496,506,81,131065,49000,79,118829,36394,720,12007,8660,1125,69621,24099
2680,14428,49066,40957,11564,46625,42940,1741,1844,233,14428,51689,43279,14428,2289,566,885,115125,36410,850,91244,21102,10763,13357,8575,16377,105587,27967
2681,957,46532,40808,752,48097,44314,126,483,-227,957,49193,43476,957,2367,538,65,84643,40000,60,77212,20494,719,11894,8797,1077,103672,42828
2700,2550,45055,39364,1916,47419,43878,399,-655,-1168,2550,48381,42335,2550,2930,1072,196,103683,44466,191,86296,32218,1834,11679,8534,2857,93868,37473
2701,1294,52725,42310,934,50002,44998,198,1180,-189,1294,55884,45223,1294,2826,654,109,116947,40380,104,103509,22946,968,14745,9280,1331,117311,48571
2702,388,48566,38384,260,41474,38098,35,-434,-941,388,51278,40882,388,2302,417,37,115015,26084,35,92115,17763,265,13637,8635,426,78921,38786
2703,406,42889,40232,330,48159,46612,51,-2736,-1616,406,45518,42448,406,2168,730,34,117056,58774,34,106217,41688,280,11139,9289,472,77425,44103
2705,5684,46587,40903,4462,49925,46693,668,-926,-1006,5684,49843,43708,5684,2561,777,390,139342,38002,374,128540,23391,4178,12188,8794,6412,96892,38534
2706,627,44440,42193,524,46272,45711,62,-1054,-726,627,47016,44464,627,2111,774,43,83483,38053,45,69340,17002,475,10335,8123,756,78542,33398
2707,882,46800,39266,580,43034,37106,111,-1103,-78,882,51511,42136,882,3970,310,95,125415,79217,91,110420,63569,648,12412,7953,921,138000,32820
